ell R_ell F_ell N_ell
79 4.580071776105607e-06 3.890030957430147e-07 4.204261080409135e-06
80 4.391232700172407e-06 3.8632571968332686e-07 4.043643351486977e-06
81 4.40271392257347e-06 3.572259790562014e-07 4.0368308367311865e-06
82 4.241973197628575e-06 3.62376257145877e-07 3.8662524886252155e-06
83 4.016406262358255e-06 2.3296913695018834e-07 3.8093959467398306e-06
84 4.0408973648391936e-06 2.5777196005791453e-07 3.7913262505309327e-06
85 4.041582224673555e-06 3.192315727357649e-07 3.7188294054244365e-06
86 4.001451420165359e-06 3.6417694614593595e-07 3.6438106487196073e-06
87 3.880305783241318e-06 3.202546589137542e-07 3.556658571630833e-06
88 3.7362037517160076e-06 3.102848375969006e-07 3.4160212461670796e-06
89 3.7194079598452598e-06 3.30966047022854e-07 3.4329544874026263e-06
90 3.587386015080845e-06 2.3054341866926996e-07 3.359385882691944e-06
91 3.6514265471414796e-06 2.6545003353953484e-07 3.337855969921776e-06
92 3.4666059140954073e-06 3.567126380522352e-07 3.129442622193447e-06
93 3.435644615983814e-06 3.565945612106198e-07 3.0921863785073085e-06
94 3.4089058730182744e-06 3.385123226686823e-07 3.1164529882139036e-06
95 3.313399997029516e-06 2.7734574493139425e-07 3.057856471526644e-06
96 3.3218189806913406e-06 3.199987323600267e-07 2.959912823562452e-06
97 3.263033765681205e-06 3.7189645127801324e-07 2.9068085729614963e-06
98 3.1506493092492293e-06 3.6422773356132827e-07 2.8113250952253232e-06
99 3.128557693463948e-06 3.2521050566428884e-07 2.794411627620816e-06
100 3.0506572743931267e-06 3.5064441962649925e-07 2.7048609170715994e-06
101 2.975085599603634e-06 3.480954734922969e-07 2.647623579127493e-06
102 2.858824605127095e-06 2.7060224099667527e-07 2.6096021607947953e-06
103 2.815719285375423e-06 2.696843639411015e-07 2.550109596936743e-06
104 2.997177834209782e-06 4.3695285803755024e-07 2.5534112543561934e-06
105 2.8513186808052616e-06 3.777865276458942e-07 2.46993275363897e-06
106 2.8462980560462458e-06 4.5193803681889253e-07 2.399165205306866e-06
107 2.8131635208538065e-06 4.119922816165906e-07 2.4123115272518375e-06
108 2.703612925628161e-06 3.8771141771735445e-07 2.338075563238057e-06
109 2.72808792580625e-06 3.85987527217492e-07 2.351723753410962e-06
110 2.6710108152696566e-06 3.319587949328826e-07 2.3669053582487387e-06
111 2.7113827543426256e-06 3.7085234834398607e-07 2.3402224673007813e-06
112 2.7828758625102704e-06 4.252572845385518e-07 2.326592717851442e-06
113 2.6898918558414816e-06 3.658099058245673e-07 2.303457098932334e-06
114 2.6059994241014095e-06 3.6525573950339325e-07 2.2612447249742324e-06
115 2.674579455730523e-06 4.4708375953878287e-07 2.222280486849928e-06
116 2.672860101297545e-06 4.487478700973769e-07 2.2617286866182226e-06
117 2.6378091840705246e-06 3.608118781973671e-07 2.2822474189279583e-06
118 2.57068978933094e-06 3.1224812514424053e-07 2.255843151375525e-06
119 2.585233931546232e-06 3.726992550529224e-07 2.253696868620201e-06
120 2.617487734911829e-06 3.352887852017263e-07 2.2525141462188186e-06
121 2.7351264429305236e-06 4.575800875047851e-07 2.2921633945283366e-06
122 2.7016316050899535e-06 4.117517531349795e-07 2.2927764506636412e-06
123 2.6523444662892475e-06 3.716936597797677e-07 2.290037456984472e-06
124 2.7328712395497296e-06 4.1946121528635027e-07 2.3030383882205277e-06
125 2.6741272450179584e-06 3.2378803838084056e-07 2.3371607543228356e-06
126 2.762959150125999e-06 3.557176193919596e-07 2.3711565147528466e-06
127 2.632031269171983e-06 3.4921200567191234e-07 2.301416908833477e-06
128 2.62975922483278e-06 3.193879243223558e-07 2.309289103948264e-06
129 2.6266213646739663e-06 3.296082336705815e-07 2.3144431240348414e-06
130 2.721748010920433e-06 3.4372631619343024e-07 2.367986034397377e-06
131 2.7340096719759433e-06 3.609176955206166e-07 2.371478286350994e-06
132 2.6980122837939236e-06 3.147412451999794e-07 2.408456124365485e-06
133 2.6538854961093054e-06 2.7164950929666116e-07 2.407704733418721e-06
134 2.6723263377743185e-06 2.7641134726603054e-07 2.4041042412736806e-06
135 2.720843001919835e-06 3.511123881866911e-07 2.395806780099613e-06
136 2.7401083095876433e-06 2.836185424909626e-07 2.447920799169512e-06
137 2.698343042400111e-06 2.622607195090376e-07 2.429395810346359e-06
138 2.727385459446161e-06 2.589892012638719e-07 2.4765832008853487e-06
139 2.6845474143872378e-06 2.556557222804355e-07 2.4521346481436793e-06
140 2.73164896438444e-06 2.881978811225325e-07 2.4528829080160357e-06
141 2.7749964215036286e-06 2.828754843770224e-07 2.479798143253378e-06
142 2.697770356852966e-06 1.9134472521633031e-07 2.4826213617788337e-06
143 2.7326239431253457e-06 2.2469098543113253e-07 2.4987922976409524e-06
144 2.714016638932159e-06 2.784190662055932e-07 2.4459758253379126e-06
145 2.7303637926794544e-06 2.4970013043964214e-07 2.4813686432161848e-06
146 2.695539413659017e-06 2.3299429653478626e-07 2.449376742753037e-06
147 2.7122778825774777e-06 2.676849338550712e-07 2.450432560700587e-06
148 2.729755842181273e-06 2.424817072033168e-07 2.486512866829217e-06
149 2.7528390726689722e-06 2.432184808086973e-07 2.501097417797244e-06
150 2.5987629970638654e-06 1.9953067782670342e-07 2.403476263258116e-06
151 2.5615344799685637e-06 2.148881664604524e-07 2.367021910343877e-06
152 2.7589153759055955e-06 2.5484643167453035e-07 2.5056452572184527e-06
153 2.651645277826252e-06 2.2227205064248578e-07 2.4362733188449224e-06
154 2.653126841661832e-06 2.0550574391643764e-07 2.4558956791118767e-06
155 2.566263044583023e-06 2.0061681600758608e-07 2.364647940840273e-06
156 2.584464287574834e-06 1.8114096039716918e-07 2.409853846508584e-06
157 2.617763936187411e-06 2.128792780707777e-07 2.4066909081817227e-06
158 2.5252001410572903e-06 1.9361340657465287e-07 2.3374878941742423e-06
159 2.5596505934674284e-06 2.086863156706925e-07 2.351111045153223e-06
160 2.574609924809087e-06 2.148574376755814e-07 2.3650578240051003e-06
161 2.4924643920394466e-06 2.1752883863439206e-07 2.2905300324788163e-06
162 2.5414858924401376e-06 2.0437593026240508e-07 2.3269554805277496e-06
163 2.5387022365884177e-06 2.425564137657346e-07 2.291818232612465e-06
164 2.5371714704312652e-06 2.4121090584769615e-07 2.300352151099197e-06
165 2.52268796205294e-06 2.526702445773226e-07 2.268879245734298e-06
166 2.5613095435179034e-06 2.4908369652940763e-07 2.286937607840049e-06
167 2.4816646722580148e-06 2.140162295741281e-07 2.2668836955021886e-06
168 2.438506768658899e-06 2.0244816647714468e-07 2.2509873412286496e-06
169 2.455957590890012e-06 2.4160547331369483e-07 2.1990744589344977e-06
170 2.3114677979551887e-06 1.7614394660797636e-07 2.157229600278801e-06
171 2.36054841618755e-06 1.8030387920479643e-07 2.1916251495780623e-06
172 2.317810230251101e-06 1.9948411319111335e-07 2.1259594977371084e-06
173 2.3456841986390346e-06 2.2000620059084122e-07 2.1381146937410934e-06
174 2.292682053655003e-06 2.0413404593687434e-07 2.105495733251765e-06
175 2.2808995988815754e-06 2.049513153032619e-07 2.0841370308492216e-06
