ell R_ell F_ell N_ell
97 3.728014268752492e-06 2.5855544119277994e-06 1.196855190410839e-06
98 3.83032696899398e-06 2.7160320752304204e-06 1.2183668416496183e-06
99 3.796374275074859e-06 2.6339680894685844e-06 1.2193878285214725e-06
100 3.7630154645753967e-06 2.6220091398356584e-06 1.2135586653493568e-06
101 3.8554188103689445e-06 2.654223120430007e-06 1.228331263238801e-06
102 3.7805168704470945e-06 2.624825552176333e-06 1.2212617785819414e-06
103 3.847215514448937e-06 2.694962782962865e-06 1.2096123120053204e-06
104 3.866966535431282e-06 2.6647675207062178e-06 1.2332364991304107e-06
105 3.8068952451268537e-06 2.6452251132855298e-06 1.2515941124292969e-06
106 3.906731883780979e-06 2.690155859908094e-06 1.23319339654211e-06
107 3.974562270925925e-06 2.7852193324476076e-06 1.265309606202853e-06
108 3.848482349572197e-06 2.6090271590106975e-06 1.2685904730556012e-06
109 3.9651294484157725e-06 2.6923676038382557e-06 1.279603850340208e-06
110 4.041894840359059e-06 2.7451512297687197e-06 1.2700537183734885e-06
111 4.011350916291426e-06 2.755726963020527e-06 1.2839468457347163e-06
112 4.007259719514769e-06 2.768581427373322e-06 1.2834999115329837e-06
113 4.0677722980630315e-06 2.753511965287466e-06 1.29018432816901e-06
114 4.031307922116111e-06 2.7614435813506703e-06 1.2986055758116422e-06
115 4.070710224938508e-06 2.75834536374188e-06 1.3195031914414791e-06
116 4.177167180423252e-06 2.8398320913586917e-06 1.3277191447137966e-06
117 4.144400952826538e-06 2.838949145911099e-06 1.3160050413600995e-06
118 4.178175113947276e-06 2.8332310100553878e-06 1.324302222246696e-06
119 4.22760446957446e-06 2.87105635079335e-06 1.3542960176796444e-06
120 4.248790753013561e-06 2.850449387021961e-06 1.3734235646395412e-06
121 4.307682240477366e-06 2.8829683510615855e-06 1.3694251036564872e-06
122 4.333624852960006e-06 2.9235879201178753e-06 1.3751337080165674e-06
123 4.357747701759686e-06 2.895262649659117e-06 1.3779583889100024e-06
124 4.438513194064315e-06 2.974911647067926e-06 1.3837069485423471e-06
125 4.371742885501852e-06 2.927022492587381e-06 1.4070207118204305e-06
126 4.5017236121039124e-06 2.996239482243377e-06 1.3946800033127863e-06
127 4.636028683721153e-06 3.18264540285502e-06 1.3910345923929547e-06
128 4.689921086720906e-06 3.212917582024815e-06 1.4173889353077141e-06
