# units: uK_CMB^2
ell R_ell F_ell N_ell
83 3.716729156521149e-06 3.919999432248349e-07 3.3784824650715456e-06
84 3.8291802510471486e-06 4.790196987290858e-07 3.399209319574354e-06
85 3.822906293289658e-06 4.970728770296815e-07 3.3544777079105485e-06
86 3.6447698183281577e-06 4.56631946479182e-07 3.2083356860249556e-06
87 3.617789650872591e-06 5.205026274299294e-07 3.1483963650708937e-06
88 3.4927728004888776e-06 4.4435742474221237e-07 3.0761349951179464e-06
89 3.4598784478710408e-06 4.941326191904701e-07 3.0059113355177773e-06
90 3.354131079379938e-06 3.8742740383241297e-07 3.007832473300405e-06
91 3.344896757067953e-06 4.180496188448526e-07 2.930228741513201e-06
92 3.169102684281537e-06 3.6578484266657186e-07 2.824442162284946e-06
93 3.137353697341654e-06 4.188511458960664e-07 2.747742317844124e-06
94 3.1146903346085507e-06 4.6519884642202877e-07 2.7275513071593722e-06
95 3.0438718050415625e-06 3.806061036018648e-07 2.701653348024285e-06
96 3.137261858098445e-06 5.301461671653199e-07 2.6272691571956117e-06
97 3.003170935834805e-06 4.807967185667988e-07 2.568276348060105e-06
98 3.050188029340323e-06 5.299833190585675e-07 2.5593306746463623e-06
99 2.9761821407352593e-06 4.99989862200247e-07 2.4998192951030225e-06
100 2.8858585084495026e-06 4.435307358949486e-07 2.4849863972310753e-06
101 2.903271464733543e-06 5.467377844313034e-07 2.420605314710567e-06
102 2.7389925559608773e-06 4.048218920331178e-07 2.3833157658874318e-06
103 2.7025930745065243e-06 4.1236535839262733e-07 2.329646698445098e-06
104 2.8457667606756363e-06 5.588827674956845e-07 2.319861532945994e-06
105 2.7235743614211593e-06 5.152672430623851e-07 2.2557698154481642e-06
106 2.760838672888377e-06 5.623950620904184e-07 2.228077282094727e-06
107 2.6951827578448134e-06 4.785615518412255e-07 2.216943747298325e-06
108 2.5952074391830147e-06 4.4973310625987006e-07 2.1807779775519343e-06
109 2.639117542090669e-06 4.778738053251804e-07 2.1808414767106404e-06
110 2.616916238653528e-06 4.806721995812213e-07 2.1760543319895516e-06
111 2.601826212333388e-06 4.734837832130358e-07 2.1521775992299526e-06
112 2.6062785947056818e-06 4.971074099030092e-07 2.1343612521901016e-06
113 2.610901590767257e-06 4.87830021593517e-07 2.1301672639267336e-06
114 2.396085779219068e-06 3.1270018212792e-07 2.120853618108214e-06
115 2.5467941872238214e-06 4.828314651241678e-07 2.1051841190052574e-06
116 2.571798145733642e-06 4.6589750346073426e-07 2.1471947536374726e-06
117 2.518697721951508e-06 4.1886692552358363e-07 2.137715939696214e-06
118 2.5157133962973088e-06 4.114578810269676e-07 2.1361234812102337e-06
119 2.505856277253764e-06 4.343463500103126e-07 2.122773317863594e-06
120 2.5200605391326004e-06 4.179027205134557e-07 2.125522590579096e-06
121 2.6348237736956935e-06 5.433114913958133e-07 2.1542129706983116e-06
122 2.5961516102488996e-06 4.5803819415937915e-07 2.1684217794787237e-06
123 2.590796858433961e-06 4.757859770306784e-07 2.156457649668817e-06
124 2.652341996936271e-06 4.914984251409553e-07 2.202755748117138e-06
125 2.5983608268886226e-06 4.31104434238326e-07 2.201198993989053e-06
126 2.6365589582159907e-06 4.392229051152407e-07 2.200317956450687e-06
127 2.513673265476804e-06 3.671858619032259e-07 2.173052388204843e-06
128 2.5827655583992247e-06 3.9564518958486703e-07 2.2085343481646045e-06
129 2.594712854439948e-06 4.1243435044938115e-07 2.2315954614482794e-06
130 2.618292876015077e-06 4.2673460283699023e-07 2.2237948509040492e-06
131 2.626051800761155e-06 4.427409223660129e-07 2.2331952050324726e-06
132 2.5783189719558282e-06 3.6896299325902754e-07 2.2641675208187007e-06
133 2.5553980196409e-06 3.042405533220296e-07 2.2894367874540387e-06
134 2.585621404565905e-06 3.3411325339968024e-07 2.278612611656819e-06
135 2.591512930057914e-06 3.4450913798494193e-07 2.2811094861791563e-06
136 2.630845512482669e-06 3.307843340099454e-07 2.3186857858099832e-06
137 2.610662975980914e-06 3.4381006019622785e-07 2.2918803758082923e-06
138 2.524951088472973e-06 2.5060100450019654e-07 2.305847028670625e-06
139 2.6179931727276957e-06 3.171895159929802e-07 2.3313011926059175e-06
140 2.5989344767992746e-06 3.076440313746097e-07 2.313514752258393e-06
141 2.6125073752751647e-06 3.2449547681458743e-07 2.3131684173148873e-06
