ell R_ell F_ell N_ell
111 3.25648138043984e-06 5.719549753674181e-07 2.674144111207306e-06
112 3.338127267266949e-06 6.46592042565364e-07 2.6714916952848773e-06
113 3.210638815753892e-06 5.41742161719674e-07 2.649062918133271e-06
114 3.0181344614386406e-06 4.1988978592644927e-07 2.614737569876399e-06
115 3.178055247315498e-06 6.450010824702002e-07 2.557551668204919e-06
116 3.1320127113202025e-06 5.466506562155887e-07 2.612785365741351e-06
117 3.14893583590343e-06 5.251656684276833e-07 2.6398973160953076e-06
118 3.0862708185873566e-06 4.7262444497611466e-07 2.6213643409835957e-06
119 3.1601105863042505e-06 5.907130384824621e-07 2.594928919229317e-06
120 3.0981222446021894e-06 4.942481752379141e-07 2.5653170935690968e-06
121 3.2632580917886168e-06 6.784576865471208e-07 2.612881281115395e-06
122 3.146550772840042e-06 5.298219695386557e-07 2.628768450397315e-06
123 3.1759832078145924e-06 5.494246323754638e-07 2.6421650211657143e-06
124 3.266021080949924e-06 5.948068019067669e-07 2.6540430584506377e-06
125 3.226727865420461e-06 5.336152173612971e-07 2.6855733086407532e-06
126 3.260748369422736e-06 5.115925608386166e-07 2.705266057730988e-06
127 3.094493128638686e-06 4.858628891631707e-07 2.6165051868070155e-06
128 3.163089150380474e-06 4.984888344219585e-07 2.647409082502225e-06
129 3.1720641244062717e-06 5.158754932548773e-07 2.682336212396118e-06
130 3.230179142156904e-06 5.105266981376777e-07 2.6986665397529906e-06
131 3.2258498118585776e-06 5.220037277729954e-07 2.7148338320518534e-06
132 3.130517117914411e-06 4.1214277294277666e-07 2.751753561180542e-06
133 3.1618880151813582e-06 4.1772207865079927e-07 2.7690174473286174e-06
134 3.1206039380978746e-06 3.73285331061728e-07 2.751037165487404e-06
135 3.0923077016441337e-06 4.1464886653782006e-07 2.734755125409464e-06
136 3.293093170183267e-06 4.531173167859449e-07 2.8156438430604215e-06
137 3.200398077941566e-06 4.107024204320315e-07 2.774973068703769e-06
138 3.161617840391285e-06 3.396929961099844e-07 2.824922882105712e-06
139 3.1896003873890144e-06 3.8394288497600056e-07 2.8281711285715996e-06
140 3.187689585519229e-06 3.82951186568839e-07 2.815928643083309e-06
141 3.2739939306701993e-06 4.2476065685676075e-07 2.8312607515335748e-06
142 3.089937517450249e-06 2.430731532601345e-07 2.8189160017773253e-06
143 3.2361467312304336e-06 3.8318231069368307e-07 2.850416596655054e-06
144 3.2461755573585195e-06 4.164322180144062e-07 2.8232017397723094e-06
145 3.190927905749669e-06 3.540236654539653e-07 2.8424680236069788e-06
146 3.1474342891068916e-06 3.08383219479867e-07 2.822648461238453e-06
147 3.201611090238498e-06 3.69731700642054e-07 2.8246041818158344e-06
148 3.2033913545616263e-06 3.4024396804634464e-07 2.840081063491618e-06
149 3.2073396228650626e-06 3.410558129241194e-07 2.8554903197162127e-06
150 3.0999286894267495e-06 3.0814339052231113e-07 2.808872061754886e-06
151 3.105308196188236e-06 3.6869419181571455e-07 2.7354586067592603e-06
152 3.217909087254241e-06 3.660248606302123e-07 2.8610863289349723e-06
153 3.109249331133019e-06 3.2491045777907357e-07 2.8009047864593645e-06
154 3.1744147135482712e-06 3.4476391020658463e-07 2.837811950208218e-06
155 3.026982257971259e-06 2.6938336093394526e-07 2.75316464037202e-06
