# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   52       1.948113279580e-10       1.795746170629e-14       2.215501081430e-14       1.158721966656e-16       4.806370934994e-11       5.454396622621e-12      -8.277206937597e-15 
   53       1.975471892004e-10       1.906535494298e-14      -6.062188851954e-15       1.203899152498e-16       4.608752902295e-11       5.253055426075e-12      -8.439824818625e-15 
   54       2.003045166168e-10       2.021207696751e-14      -3.612547733661e-14       1.249942348504e-16       4.421527025884e-11       5.061389065428e-12      -8.592752606031e-15 
   55       2.030865392751e-10       2.139766705025e-14      -6.803007476205e-14       1.296849915638e-16       4.244625703341e-11       4.879545974237e-12      -8.742652631626e-15 
   56       2.058955082451e-10       2.262211193159e-14      -1.017656628514e-13       1.344620044363e-16       4.077654548587e-11       4.707376149644e-12      -8.897251578392e-15 
   57       2.087326098098e-10       2.388534450346e-14      -1.373161975170e-13       1.393250750810e-16       3.919871351213e-11       4.544411201440e-12      -9.065388707393e-15 
   58       2.115978786765e-10       2.518724249077e-14      -1.746597214487e-13       1.442739872953e-16       3.770165035814e-11       4.389844401118e-12      -9.257064084694e-15 
   59       2.144908207449e-10       2.652762246032e-14      -2.137735781607e-13       1.493085410308e-16       3.627361341203e-11       4.242761733032e-12      -9.479684307818e-15 
   60       2.174126474132e-10       2.790622321753e-14      -2.546518937559e-13       1.544286643876e-16       3.491270541412e-11       4.102943018073e-12      -9.725672044755e-15 
   61       2.203644076793e-10       2.932271621679e-14      -2.972918309398e-13       1.596343269979e-16       3.361846282727e-11       3.970211904959e-12      -9.982059181489e-15 
   62       2.233462627503e-10       3.077670844816e-14      -3.416885402958e-13       1.649255087256e-16       3.238870495114e-11       3.844190017407e-12      -1.023395729933e-14 
   63       2.263574233065e-10       3.226774096045e-14      -3.878351559746e-13       1.703022004474e-16       3.121943426798e-11       3.724285511748e-12      -1.046447700348e-14 
   64       2.293960867648e-10       3.379528738430e-14      -4.357227913826e-13       1.757644048346e-16       3.010473678849e-11       3.609681634528e-12      -1.065464725168e-14 
   65       2.324603826435e-10       3.535871685106e-14      -4.853406092071e-13       1.813121501017e-16       2.903841317595e-11       3.499556482580e-12      -1.078748981129e-14 
   66       2.355515822748e-10       3.695717693912e-14      -5.366760584114e-13       1.869455328791e-16       2.801949746518e-11       3.393822079398e-12      -1.086142677453e-14 
   67       2.386714587155e-10       3.858968322425e-14      -5.897146798730e-13       1.926646858442e-16       2.704773242507e-11       3.292521830497e-12      -1.087957670517e-14 
   68       2.418213047359e-10       4.025515026972e-14      -6.444400342853e-13       1.984697666789e-16       2.612189162818e-11       3.195608250248e-12      -1.084588495483e-14 
   69       2.450018982826e-10       4.195238915339e-14      -7.008336999259e-13       2.043609592135e-16       2.523972820986e-11       3.102937986681e-12      -1.076515921892e-14 
   70       2.482134679402e-10       4.368010499493e-14      -7.588752704248e-13       2.103384745715e-16       2.439792362751e-11       3.014266846297e-12      -1.064310509261e-14 
   71       2.514556583945e-10       4.543689448293e-14      -8.185423525323e-13       2.164025523137e-16       2.359203641968e-11       2.929244818873e-12      -1.048636162682e-14 
   72       2.547279739112e-10       4.722135769172e-14      -8.798099166437e-13       2.225534305433e-16       2.281764441940e-11       2.847510956714e-12      -1.030193544169e-14 
   73       2.580312840747e-10       4.903246387541e-14      -9.426482090066e-13       2.287912470349e-16       2.207413908768e-11       2.769010152650e-12      -1.009529830134e-14 
   74       2.613665460067e-10       5.086925174604e-14      -1.007024432863e-12       2.351161211064e-16       2.136157029293e-11       2.693728459711e-12      -9.871986923726e-15 
   75       2.647343287367e-10       5.273072153944e-14      -1.072903343462e-12       2.415281834059e-16       2.067949380449e-11       2.621595974763e-12      -9.638193520534e-15 
