53 1.1059e-04 3.7873e-06 1.8661e-07 3.2727e+00 -3.1300e-05 6.7412e-04 4.0968e-10 1.0252e-13 5.7000e-01
54 1.1060e-04 3.7929e-06 1.8703e-07 3.1972e+00 -5.1000e-04 6.8102e-04 3.9567e-10 9.6932e-14 5.7000e-01
55 1.1061e-04 3.7987e-06 1.8746e-07 3.1255e+00 -9.8136e-04 6.8782e-04 3.8241e-10 9.1721e-14 5.7000e-01
56 1.1062e-04 3.8045e-06 1.8790e-07 3.0573e+00 -1.4455e-03 6.9452e-04 3.6986e-10 8.6862e-14 5.7000e-01
57 1.1064e-04 3.8105e-06 1.8835e-07 2.9923e+00 -1.9026e-03 7.0112e-04 3.5796e-10 8.2337e-14 5.7000e-01
58 1.1065e-04 3.8165e-06 1.8881e-07 2.9304e+00 -2.3528e-03 7.0761e-04 3.4667e-10 7.8125e-14 5.7000e-01
59 1.1066e-04 3.8227e-06 1.8928e-07 2.8714e+00 -2.7963e-03 7.1400e-04 3.3595e-10 7.4199e-14 5.7000e-01
60 1.1067e-04 3.8290e-06 1.8976e-07 2.8149e+00 -3.2334e-03 7.2029e-04 3.2576e-10 7.0531e-14 5.7000e-01
61 1.1069e-04 3.8355e-06 1.9024e-07 2.7609e+00 -3.6642e-03 7.2647e-04 3.1606e-10 6.7094e-14 5.7000e-01
62 1.1070e-04 3.8420e-06 1.9073e-07 2.7091e+00 -4.0883e-03 7.3254e-04 3.0681e-10 6.3874e-14 5.7000e-01
63 1.1072e-04 3.8486e-06 1.9123e-07 2.6595e+00 -4.5054e-03 7.3848e-04 2.9800e-10 6.0860e-14 5.7000e-01
64 1.1073e-04 3.8554e-06 1.9174e-07 2.6119e+00 -4.9153e-03 7.4430e-04 2.8960e-10 5.8038e-14 5.7000e-01
65 1.1074e-04 3.8623e-06 1.9225e-07 2.5664e+00 -5.3174e-03 7.4999e-04 2.8158e-10 5.5394e-14 5.7000e-01
66 1.1076e-04 3.8693e-06 1.9278e-07 2.5227e+00 -5.7115e-03 7.5553e-04 2.7392e-10 5.2911e-14 5.7000e-01
67 1.1077e-04 3.8764e-06 1.9331e-07 2.4807e+00 -6.0973e-03 7.6093e-04 2.6660e-10 5.0572e-14 5.7000e-01
68 1.1079e-04 3.8837e-06 1.9385e-07 2.4404e+00 -6.4744e-03 7.6617e-04 2.5960e-10 4.8360e-14 5.7000e-01
69 1.1080e-04 3.8911e-06 1.9441e-07 2.4016e+00 -6.8430e-03 7.7125e-04 2.5290e-10 4.6267e-14 5.7000e-01
70 1.1082e-04 3.8985e-06 1.9497e-07 2.3644e+00 -7.2032e-03 7.7617e-04 2.4648e-10 4.4289e-14 5.7000e-01
71 1.1083e-04 3.9062e-06 1.9554e-07 2.3285e+00 -7.5554e-03 7.8094e-04 2.4034e-10 4.2422e-14 5.7000e-01
72 1.1085e-04 3.9139e-06 1.9612e-07 2.2941e+00 -7.8997e-03 7.8554e-04 2.3445e-10 4.0658e-14 5.7000e-01
73 1.1086e-04 3.9217e-06 1.9671e-07 2.2609e+00 -8.2363e-03 7.8999e-04 2.2880e-10 3.8993e-14 5.7000e-01
74 1.1088e-04 3.9297e-06 1.9731e-07 2.2289e+00 -8.5654e-03 7.9428e-04 2.2337e-10 3.7418e-14 5.7000e-01
75 1.1090e-04 3.9378e-06 1.9792e-07 2.1981e+00 -8.8873e-03 7.9842e-04 2.1817e-10 3.5924e-14 5.7000e-01
76 1.1091e-04 3.9461e-06 1.9854e-07 2.1684e+00 -9.2020e-03 8.0239e-04 2.1317e-10 3.4506e-14 5.7000e-01
77 1.1093e-04 3.9544e-06 1.9917e-07 2.1396e+00 -9.5095e-03 8.0620e-04 2.0836e-10 3.3158e-14 5.7000e-01
78 1.1095e-04 3.9629e-06 1.9981e-07 2.1119e+00 -9.8097e-03 8.0984e-04 2.0374e-10 3.1879e-14 5.7000e-01
79 1.1096e-04 3.9715e-06 2.0046e-07 2.0851e+00 -1.0102e-02 8.1332e-04 1.9929e-10 3.0665e-14 5.7000e-01
80 1.1098e-04 3.9802e-06 2.0112e-07 2.0592e+00 -1.0387e-02 8.1663e-04 1.9501e-10 2.9512e-14 5.7000e-01
81 1.1100e-04 3.9891e-06 2.0179e-07 2.0342e+00 -1.0665e-02 8.1977e-04 1.9089e-10 2.8417e-14 5.7000e-01
82 1.1102e-04 3.9981e-06 2.0247e-07 2.0100e+00 -1.0934e-02 8.2273e-04 1.8691e-10 2.7375e-14 5.7000e-01
