# ell  TT    EE    TE     PP     TP
1.600000000000000000e+01 1.946223481645295550e+01 7.415580557605764038e-05 2.495923413663424240e-02 1.049712002428427561e-08 4.369030820481390088e-05
1.700000000000000000e+01 1.750946402419403469e+01 7.276442994805725579e-05 2.343956803351943119e-02 9.392058522704525695e-09 3.760524275054110733e-05
1.800000000000000000e+01 1.587011875559755048e+01 7.404426801288175599e-05 2.216485379082316215e-02 8.462689193875398839e-09 3.252766901494516332e-05
1.900000000000000000e+01 1.448256393030847455e+01 7.678213135103998711e-05 2.105953509532709420e-02 7.671907974952189794e-09 2.829337672870697466e-05
2.000000000000000000e+01 1.328977505010345972e+01 8.116442770468510197e-05 2.006577277049352917e-02 6.986088995336639333e-09 2.476854129965351821e-05
2.100000000000000000e+01 1.225795901085346706e+01 8.609223722217019962e-05 1.914920750485155088e-02 6.383440424018178141e-09 2.183138721295564341e-05
2.200000000000000000e+01 1.136006814178297297e+01 9.160113562179095757e-05 1.828540646009411269e-02 5.850209960561140336e-09 1.934682249148963370e-05
2.300000000000000000e+01 1.057280511107729382e+01 9.732900849506401642e-05 1.746616282544784932e-02 5.377527525733617982e-09 1.722389844321177256e-05
2.400000000000000000e+01 9.875760964080964044e+00 1.037043483216182614e-04 1.668717882471790551e-02 4.956212042690461790e-09 1.537941698690865552e-05
2.500000000000000000e+01 9.256329916210862763e+00 1.100734652598762676e-04 1.594356679241031027e-02 4.580266285968226734e-09 1.377571764568686880e-05
2.600000000000000000e+01 8.704056383562967625e+00 1.168044629959668170e-04 1.523030364842131203e-02 4.243465182771541499e-09 1.238240095061993206e-05
2.700000000000000000e+01 8.209282415694529433e+00 1.237099016490067092e-04 1.454241454355133939e-02 3.941126953646000668e-09 1.117471905047692465e-05
2.800000000000000000e+01 7.763225500707049420e+00 1.307306345968476085e-04 1.387517516764849926e-02 3.668794589432952883e-09 1.012562041457344874e-05
2.900000000000000000e+01 7.359807246016620397e+00 1.377542318194062507e-04 1.322481513592850891e-02 3.423367723192245199e-09 9.211259420089450045e-06
3.000000000000000000e+01 6.993625289615928331e+00 1.450481924473739795e-04 1.258780254494258968e-02 3.201870646129667851e-09 8.403673753601826734e-06
3.100000000000000000e+01 6.659627868046514187e+00 1.523985158622339112e-04 1.196115152912291014e-02 3.000984149965984049e-09 7.674760256312824109e-06
3.200000000000000000e+01 6.354165614992425937e+00 1.597900024495450561e-04 1.134406037447557164e-02 2.818544686535688676e-09 7.018043871662625387e-06
3.300000000000000000e+01 6.073939763096768196e+00 1.672091528458841472e-04 1.073627340488939562e-02 2.652586064694709127e-09 6.431582469505905893e-06
3.400000000000000000e+01 5.815877460708392732e+00 1.746449331493237932e-04 1.013727487641982380e-02 2.500959177854596325e-09 5.911270232590825876e-06
3.500000000000000000e+01 5.577809519632649149e+00 1.820981713045907149e-04 9.545508773808497605e-03 2.362174258716392991e-09 5.449442228058521666e-06
3.600000000000000000e+01 5.357792667362757832e+00 1.895722607178527909e-04 8.959159013970699123e-03 2.234816436795407393e-09 5.035994559463046654e-06
3.700000000000000000e+01 5.153965998978235596e+00 1.970679231666596688e-04 8.376881722072846911e-03 2.117454584019887772e-09 4.660791809570406126e-06
3.800000000000000000e+01 4.964798081105164407e+00 2.045754939136243270e-04 7.799221856318989954e-03 2.009059000078974014e-09 4.320095902254578402e-06
3.900000000000000000e+01 4.788839847641022551e+00 2.120823365926942481e-04 7.227196583176374346e-03 1.908839269220972520e-09 4.011311229860394894e-06
4.000000000000000000e+01 4.624642232683009446e+00 2.195759148377128653e-04 6.661823069107916315e-03 1.815829810312427054e-09 3.731090743897253672e-06
4.100000000000000000e+01 4.470884233597733903e+00 2.270454430492008615e-04 6.103895183366308055e-03 1.729069271097955458e-09 3.475824928295186364e-06
4.200000000000000000e+01 4.326757100322478955e+00 2.344871386941099279e-04 5.553313606359180574e-03 1.648072940499327518e-09 3.243202958661221090e-06
4.300000000000000000e+01 4.191580145864240770e+00 2.418989700059753301e-04 5.009755721276565668e-03 1.572447230947483434e-09 3.030910809438602762e-06
4.400000000000000000e+01 4.064672683332175573e+00 2.492789052183525542e-04 4.472898911316556397e-03 1.501761845766887254e-09 2.836165870123599172e-06
4.500000000000000000e+01 3.945374300961051794e+00 2.566241875895366249e-04 3.942464801443799904e-03 1.435477224658061975e-09 2.656236666558657083e-06
4.600000000000000000e+01 3.833105687015605945e+00 2.639292604774403305e-04 3.418351983703031820e-03 1.373355932412926137e-09 2.490093400965992667e-06
4.700000000000000000e+01 3.727307804690177750e+00 2.711875422652861045e-04 2.900503291904520109e-03 1.315160017125482564e-09 2.337008742109848291e-06
4.800000000000000000e+01 3.627421617376901608e+00 2.783928513354831484e-04 2.388861559865374917e-03 1.260561675883833545e-09 2.196060960203607107e-06
4.900000000000000000e+01 3.532888088374715352e+00 2.855386060714366924e-04 1.883369621396431028e-03 1.209250005650616076e-09 2.066133929140541557e-06
5.000000000000000000e+01 3.443199752699195759e+00 2.926185408878273888e-04 1.384038831984267482e-03 1.160885899675983682e-09 1.946068962845348783e-06
5.100000000000000000e+01 3.358055433578420956e+00 2.996257543289541502e-04 8.911546337967206311e-04 1.115302177288129780e-09 1.835144375469402308e-06
5.200000000000000000e+01 3.277205525659031782e+00 3.065533609705459249e-04 4.050709906732440102e-04 1.072312424330205326e-09 1.732662076419583930e-06
5.300000000000000000e+01 3.200400423793621663e+00 3.133944753890374225e-04 -7.385813354681219586e-05 1.031783200466230545e-09 1.637801750874107942e-06
5.400000000000000000e+01 3.127390522930455052e+00 3.201422121603621261e-04 -5.452787750241025726e-04 9.934699429541436478e-10 1.549620860720854709e-06
5.500000000000000000e+01 3.057933816862731469e+00 3.267905719729318880e-04 -1.008918713428668713e-03 9.571975798228552777e-10 1.467213613568087684e-06
5.600000000000000000e+01 2.991818695052131272e+00 3.333363999633875995e-04 -1.464832702468313449e-03 9.228499265611578739e-10 1.390210784181818366e-06
5.700000000000000000e+01 2.928841146102111104e+00 3.397777273804044262e-04 -1.913157239359796922e-03 8.903080909524576030e-10 1.318342913839013309e-06
5.800000000000000000e+01 2.868797158519218460e+00 3.461121854727482530e-04 -2.354028821321670593e-03 8.594833982966382102e-10 1.251287071587366943e-06
5.900000000000000000e+01 2.811482720606247820e+00 3.523378054890587922e-04 -2.787583945571334067e-03 8.302203415469528752e-10 1.188666854584190774e-06
6.000000000000000000e+01 2.756693821168214154e+00 3.584523186780593537e-04 -3.213959109323681358e-03 8.024068664927707859e-10 1.130052388399433068e-06
6.100000000000000000e+01 2.704242702539823906e+00 3.644531972496653743e-04 -3.633256043904205430e-03 7.759151930351070492e-10 1.075027132138048620e-06
6.200000000000000000e+01 2.654006623475114957e+00 3.703357772581601886e-04 -4.045437417055575656e-03 7.506452264513341029e-10 1.023396983862856562e-06
6.300000000000000000e+01 2.605879096561339647e+00 3.760952357190205930e-04 -4.450431130628639334e-03 7.265764813505351207e-10 9.750050748497967810e-07
6.400000000000000000e+01 2.559753634582718984e+00 3.817267496474801972e-04 -4.848165086473153057e-03 7.036497887859805574e-10 9.296671375432189347e-07
6.500000000000000000e+01 2.515523750125705504e+00 3.872252960590289567e-04 -5.238567186437396300e-03 6.818007518724677569e-10 8.871715056822268345e-07
6.600000000000000000e+01 2.473082955974880370e+00 3.925859519690860083e-04 -5.621565332373145742e-03 6.609446987702999048e-10 8.472791144156197603e-07
6.700000000000000000e+01 2.432324764815705809e+00 3.978037943929333916e-04 -5.997087426128509986e-03 6.410193430246911496e-10 8.097235004096625793e-07
6.800000000000000000e+01 2.393149415634362231e+00 4.028746319555331565e-04 -6.365075692056553977e-03 6.219500246368593520e-10 7.742520470046617007e-07
6.900000000000000000e+01 2.355484053209727424e+00 4.077965997189424044e-04 -6.725529644516320578e-03 6.036976033144520758e-10 7.407545366890873512e-07
7.000000000000000000e+01 2.319262548623405529e+00 4.125684643548426477e-04 -7.078463120368665672e-03 5.862183916936226620e-10 7.091478460734690328e-07
7.100000000000000000e+01 2.284418772853671786e+00 4.171893925348429477e-04 -7.423889956475483373e-03 5.694925855154561532e-10 6.793359051748564146e-07
7.200000000000000000e+01 2.250886596982971000e+00 4.216579509303910490e-04 -7.761823989697005065e-03 5.534844779746980423e-10 6.512096974618602046e-07
7.300000000000000000e+01 2.218599892288672937e+00 4.259731062132187849e-04 -8.092279056895555073e-03 5.381438260881191249e-10 6.246472598943862528e-07
7.400000000000000000e+01 2.187492529552101495e+00 4.301338250549594346e-04 -8.415268994928646468e-03 5.234409867473300678e-10 5.995136829610890193e-07
7.500000000000000000e+01 2.157498380153064499e+00 4.341388741270695928e-04 -8.730807640669338912e-03 5.093303818079683289e-10 5.756611107127141790e-07
7.600000000000000000e+01 2.128555345343789540e+00 4.379870325252851245e-04 -9.038898528347074496e-03 4.957683101317661019e-10 5.529524720487180582e-07
7.700000000000000000e+01 2.100617448162409140e+00 4.416760290414667185e-04 -9.339503981724683185e-03 4.827209996173498387e-10 5.313351563112272709e-07
7.800000000000000000e+01 2.073642741820901580e+00 4.452038048916433254e-04 -9.632576021950133016e-03 4.701807918829605772e-10 5.107741627052333026e-07
7.900000000000000000e+01 2.047589279729055800e+00 4.485680012917765192e-04 -9.918066670168953006e-03 4.581278988070870130e-10 4.912289895129501007e-07
8.000000000000000000e+01 2.022415115199375446e+00 4.517663594578720347e-04 -1.019592794752643798e-02 4.465218408833055947e-10 4.726536341060625945e-07
8.100000000000000000e+01 1.998078301441427840e+00 4.547967206057945862e-04 -1.046611187516253462e-02 4.353698458611582444e-10 4.549965929604360576e-07
