# ell  TT    EE    TE
3.300000000000000000e+01 6.087500644712473985e+00 1.681838724957270058e-04 1.074504610671185231e-02
3.400000000000000000e+01 5.828994446078352709e+00 1.756587161073328604e-04 1.013918380675391320e-02
3.500000000000000000e+01 5.590486885026714425e+00 1.831666734793675039e-04 9.538311371251073992e-03
3.600000000000000000e+01 5.370143539032623536e+00 1.906908837088988151e-04 8.943814677948507680e-03
3.700000000000000000e+01 5.166175003382551090e+00 1.982164500350630900e-04 8.356802669670765002e-03
3.800000000000000000e+01 4.976971944553108429e+00 2.057363322394971817e-04 7.777276549571045423e-03
3.900000000000000000e+01 4.800970046820024706e+00 2.132454542463373039e-04 7.204960585875036690e-03
4.000000000000000000e+01 4.636604994460893359e+00 2.207387399888848108e-04 6.639579046815490340e-03
4.100000000000000000e+01 4.482476765415656317e+00 2.282116823498898624e-04 6.080870814536358873e-03
4.200000000000000000e+01 4.337842512271352646e+00 2.356620499831432833e-04 5.528633226828855857e-03
4.300000000000000000e+01 4.202123681270657052e+00 2.430881804917852827e-04 4.982678235392413828e-03
4.400000000000000000e+01 4.074741718663194234e+00 2.504884114886363959e-04 4.442817791934226476e-03
4.500000000000000000e+01 3.955112986186912316e+00 2.578597135515362025e-04 3.908962226696799554e-03
4.600000000000000000e+01 3.842633507531356241e+00 2.651935890928880705e-04 3.381415384075327560e-03
4.700000000000000000e+01 3.736694221872463029e+00 2.724801734898137356e-04 2.860579487007865705e-03
4.800000000000000000e+01 3.636686068389860083e+00 2.797096021297286743e-04 2.346856758434296732e-03
4.900000000000000000e+01 3.541999986260937039e+00 2.868720104091485599e-04 1.840649421289517569e-03
5.000000000000000000e+01 3.452091640515004389e+00 2.939586807529534452e-04 1.342236924597959733e-03
5.100000000000000000e+01 3.366675599567430677e+00 3.009654836701501981e-04 8.514076217311466977e-04
5.200000000000000000e+01 3.285531157687897164e+00 3.078894366981568495e-04 3.678270921470468157e-04
5.300000000000000000e+01 3.208437609146211233e+00 3.147275573840845227e-04 -1.088390846956441944e-04
5.400000000000000000e+01 3.135174248207799774e+00 3.214768632848364217e-04 -5.789253293390003979e-04
5.500000000000000000e+01 3.065520758232739507e+00 3.281341119879166608e-04 -1.042665414345268077e-03
5.600000000000000000e+01 2.999258378950869108e+00 3.346950211720040166e-04 -1.499890520360357268e-03
5.700000000000000000e+01 2.936168739180288423e+00 3.411550485469506890e-04 -1.950331180052386221e-03
5.800000000000000000e+01 2.876033467740120919e+00 3.475096518317446364e-04 -2.393717926086143602e-03
5.900000000000000000e+01 2.818634193452248748e+00 3.537542887564543636e-04 -2.829781291129489403e-03
6.000000000000000000e+01 2.763752545135041760e+00 3.598844170608503585e-04 -3.258251807850116432e-03
6.100000000000000000e+01 2.711189865893362860e+00 3.658956390847361195e-04 -3.678924174730166183e-03
6.200000000000000000e+01 2.660826355980281388e+00 3.717841355335286310e-04 -4.091849753526731297e-03
6.300000000000000000e+01 2.612561929930569349e+00 3.775462317128757002e-04 -4.497144071810500049e-03
6.400000000000000000e+01 2.566296502281226299e+00 3.831782529384340557e-04 -4.894922657157024445e-03
6.500000000000000000e+01 2.521929987570119103e+00 3.886765245370211487e-04 -5.285301037135604549e-03
6.600000000000000000e+01 2.479362300331686697e+00 3.940373718460216611e-04 -5.668394739322298037e-03
6.700000000000000000e+01 2.438493355103640958e+00 3.992571202134283801e-04 -6.044319291287116210e-03
