# ell  TT    EE    TE     PP     TP
2.800000000000000000e+01 1.055588384167743587e+00 2.130681989051302818e-05 1.880246697703187022e-03 4.140854820431699659e-10 1.310970603347606078e-07
2.900000000000000000e+01 1.000543888008934346e+00 2.202999678940739499e-05 1.792892739960438332e-03 3.858142916889611738e-10 1.151956604389708202e-07
3.000000000000000000e+01 9.505843109556164627e-01 2.295999586725439525e-05 1.704908249860437883e-03 3.603718120628862035e-10 1.016174435299340220e-07
3.100000000000000000e+01 9.050181270091960384e-01 2.391008557179032521e-05 1.617505196360629347e-03 3.374276094822285137e-10 8.982558549150573359e-08
3.200000000000000000e+01 8.633478901473686795e-01 2.487821964520931634e-05 1.531481502660221941e-03 3.166812004562837409e-10 7.958851147673541984e-08
3.300000000000000000e+01 8.251246740180689931e-01 2.586052315336319970e-05 1.447531580520613299e-03 2.978760163635558932e-10 7.075095895626552458e-08
3.400000000000000000e+01 7.899296251272791558e-01 2.685289714256716820e-05 1.366106641658308045e-03 2.807749077992422504e-10 6.315065960942030158e-08
3.500000000000000000e+01 7.574641820139849102e-01 2.785234658111876462e-05 1.286685097622916564e-03 2.651752928994717054e-10 5.659732195162828822e-08
3.600000000000000000e+01 7.274598560769197642e-01 2.885575241778617152e-05 1.208502159921027129e-03 2.509029624399214020e-10 5.089364870713965180e-08
3.700000000000000000e+01 6.996603797974723093e-01 2.986046151789677736e-05 1.130905844528568146e-03 2.378074504661212823e-10 4.586394002112792695e-08
3.800000000000000000e+01 6.738583712920062085e-01 3.086598441302707018e-05 1.053695385305442609e-03 2.257384385314164755e-10 4.141888572255676545e-08
3.900000000000000000e+01 6.498586694601953262e-01 3.187199755129086609e-05 9.767828205816939981e-04 2.145858420180673528e-10 3.749077306117076576e-08
4.000000000000000000e+01 6.274661134016307207e-01 3.287827738081321649e-05 9.000801886864638482e-04 2.042412367522281745e-10 3.401188928678797335e-08
4.100000000000000000e+01 6.065022583616049845e-01 3.388430640039636363e-05 8.235829633262255417e-04 1.946104153508771439e-10 3.091892562626677945e-08
4.200000000000000000e+01 5.868555236707099221e-01 3.488839131153446754e-05 7.476203597141707234e-04 1.856281044844975472e-10 2.816618921461466311e-08
4.300000000000000000e+01 5.684310446045290899e-01 3.588854486640568247e-05 6.726050284386215225e-04 1.772416633920239600e-10 2.571239116389723681e-08
4.400000000000000000e+01 5.511339565397042062e-01 3.688277981718525569e-05 5.989496200891563336e-04 1.694088780823184796e-10 2.351624258617494150e-08
4.500000000000000000e+01 5.348726895115002433e-01 3.786949631904093245e-05 5.269588447118416039e-04 1.620769085872469460e-10 2.154011117091755921e-08
4.600000000000000000e+01 5.195688516916776578e-01 3.884874413928531174e-05 4.565056501806147586e-04 1.552127945061688485e-10 1.976099091726912523e-08
4.700000000000000000e+01 5.051473457115018828e-01 3.982066044816719272e-05 3.873550438256333152e-04 1.487819766244900385e-10 1.815953240179527143e-08
4.800000000000000000e+01 4.915330744016639386e-01 4.078578241600292121e-05 3.192720329777859771e-04 1.427446234662155136e-10 1.671638620105489975e-08
4.900000000000000000e+01 4.786509404935000433e-01 4.174424721304441344e-05 2.520216249677252542e-04 1.370732926676403089e-10 1.541220289160592281e-08
5.000000000000000000e+01 4.664325542006871883e-01 4.269627553336599943e-05 1.854250966850703986e-04 1.317390659894849246e-10 1.422912529466836250e-08
5.100000000000000000e+01 4.548363569678928742e-01 4.364052216601084472e-05 1.195288032557977986e-04 1.267196381099612167e-10 1.315526521008762590e-08
5.200000000000000000e+01 4.438274974219698632e-01 4.457542542382569677e-05 5.443536936492875556e-05 1.219873511328346721e-10 1.218022668236298734e-08
5.300000000000000000e+01 4.333711243901569587e-01 4.549942361964010485e-05 -9.752580302525083698e-06 1.175277962996164511e-10 1.129361375599773463e-08
