# ell  TT    EE    TE
5.700000000000000000e+01 2.946914296391938137e+00 3.411341427695103968e-04 -1.940373472116529692e-03
5.800000000000000000e+01 2.886271423520747170e+00 3.474018107427862228e-04 -2.380539397183391304e-03
5.900000000000000000e+01 2.828396668749627807e+00 3.536623729403373878e-04 -2.814117210723078837e-03
6.000000000000000000e+01 2.773069345708992550e+00 3.597535916678541246e-04 -3.241514467297679745e-03
6.100000000000000000e+01 2.720088495922631910e+00 3.658001149518799928e-04 -3.663001625470960979e-03
6.200000000000000000e+01 2.669332072485907759e+00 3.717204944780382395e-04 -4.078300759823377808e-03
6.300000000000000000e+01 2.620697756389142263e+00 3.775159126639527469e-04 -4.486996848938107352e-03
6.400000000000000000e+01 2.574083228619234109e+00 3.832540577372411765e-04 -4.888674871397958969e-03
6.500000000000000000e+01 2.529386170164475978e+00 3.887132764516344828e-04 -5.282919805787765141e-03
6.600000000000000000e+01 2.486504262013257804e+00 3.940157900260862181e-04 -5.669316630690008664e-03
6.700000000000000000e+01 2.445335185155035340e+00 3.993618136035271475e-04 -6.047450324688377968e-03
6.800000000000000000e+01 2.405781941613851060e+00 4.044879098129683230e-04 -6.417012929339464475e-03
6.900000000000000000e+01 2.367768817562980299e+00 4.094050591526776032e-04 -6.778124738090007470e-03
7.000000000000000000e+01 2.331225420209888100e+00 4.140959848919143469e-04 -7.131013107362554893e-03
7.100000000000000000e+01 2.296081356762931236e+00 4.187939691497962629e-04 -7.475905393576005691e-03
7.200000000000000000e+01 2.262266234432061207e+00 4.232474155007417450e-04 -7.813028953152481929e-03
7.300000000000000000e+01 2.229709660424227025e+00 4.275043036660750788e-04 -8.142611142511035210e-03
7.400000000000000000e+01 2.198341241949593794e+00 4.316019260072543186e-04 -8.464879318076608261e-03
7.500000000000000000e+01 2.168090586215331683e+00 4.355171328777501013e-04 -8.780060836263058055e-03
7.600000000000000000e+01 2.138892267472004782e+00 4.393469005495118790e-04 -9.088319415597198234e-03
7.700000000000000000e+01 2.110700728130653570e+00 4.430162809570533191e-04 -9.389564223045274508e-03
7.800000000000000000e+01 2.083475377643044357e+00 4.464700211139867249e-04 -9.683640787666132274e-03
7.900000000000000000e+01 2.057175625462818402e+00 4.498185789432483715e-04 -9.970394638526841255e-03
8.000000000000000000e+01 2.031760881040417299e+00 4.529225141288448827e-04 -1.024967130468621215e-02
8.100000000000000000e+01 2.007190553829988566e+00 4.558747714249980379e-04 -1.052131631521586140e-02
8.200000000000000000e+01 1.983424053282270672e+00 4.586147931781044519e-04 -1.078517519917706821e-02
8.300000000000000000e+01 1.960420788849867701e+00 4.612132165222326829e-04 -1.104109348563439563e-02
8.400000000000000000e+01 1.938142530931932672e+00 4.637296752108891720e-04 -1.128895471428511751e-02
8.500000000000000000e+01 1.916560493710179447e+00 4.660040149170425962e-04 -1.152879446736041619e-02
8.600000000000000000e+01 1.895648252314013460e+00 4.680005690866568049e-04 -1.176068633771153345e-02
8.700000000000000000e+01 1.875379381872225304e+00 4.699072362209443204e-04 -1.198470391820729945e-02
8.800000000000000000e+01 1.855727457512690304e+00 4.716257769598812912e-04 -1.220092080170211493e-02
8.900000000000000000e+01 1.836666054365022616e+00 4.731708364528136135e-04 -1.240941058105476946e-02
9.000000000000000000e+01 1.818168747557189269e+00 4.746128071768357490e-04 -1.261024684913341840e-02
9.100000000000000000e+01 1.800209112219240515e+00 4.758003048548896689e-04 -1.280350319879760071e-02
9.200000000000000000e+01 1.782760723478390430e+00 4.767849568992205676e-04 -1.298925322289891209e-02
9.300000000000000000e+01 1.765798730336551214e+00 4.776244255476799457e-04 -1.316756260951744070e-02
9.400000000000000000e+01 1.749304577279592987e+00 4.783469546175043389e-04 -1.333846542762207391e-02
9.500000000000000000e+01 1.733261282666822778e+00 4.788912573104569647e-04 -1.350198784137906713e-02
9.600000000000000000e+01 1.717651864856990285e+00 4.792154833273672902e-04 -1.365815601496781287e-02
9.700000000000000000e+01 1.702459342208096027e+00 4.793844392655121104e-04 -1.380699611256706871e-02
9.800000000000000000e+01 1.687666733079631110e+00 4.794337098629540377e-04 -1.394853429835732871e-02
9.900000000000000000e+01 1.673257055830306594e+00 4.792636112618828075e-04 -1.408279673650868896e-02
1.000000000000000000e+02 1.659213328818359923e+00 4.789703166338417622e-04 -1.420980959120717729e-02
