# ell  TT    EE    TE     PP     TP
2.200000000000000000e+01 1.146649853923110030e+01 9.199543289611662039e-05 1.765184464555277430e-02 5.832339179647613419e-09 1.942888163256065523e-05
2.300000000000000000e+01 1.067042878806534745e+01 9.822220254834107805e-05 1.699733459946207656e-02 5.360805729861005143e-09 1.729281125805123514e-05
2.400000000000000000e+01 9.965768260641175047e+00 1.050160908201356447e-04 1.638401934308020280e-02 4.940541425717163959e-09 1.544252392781373696e-05
2.500000000000000000e+01 9.340162736441852687e+00 1.116488236299331075e-04 1.578798720758907079e-02 4.565555732299478044e-09 1.384791771179198892e-05
2.600000000000000000e+01 8.783071759232351283e+00 1.184134051712714585e-04 1.519136102133112481e-02 4.229635309151913101e-09 1.247975449898154711e-05
2.700000000000000000e+01 8.283679809077334255e+00 1.251457724603400321e-04 1.458090025047523511e-02 3.928104955515516286e-09 1.129278038744011050e-05
2.800000000000000000e+01 7.832155324930091034e+00 1.318414051575693597e-04 1.394823797174963437e-02 3.656517865729989792e-09 1.023863670039037910e-05
2.900000000000000000e+01 7.422877643617924015e+00 1.384690206776336828e-04 1.329986506622894346e-02 3.411776017943512812e-09 9.302505078036513343e-06
3.000000000000000000e+01 7.051278827183388387e+00 1.453838958738121602e-04 1.264598686609767590e-02 3.190910004553535486e-09 8.475650057564490289e-06
3.100000000000000000e+01 6.712933410359275932e+00 1.524424047714504086e-04 1.199599725237580905e-02 2.990611894515225983e-09 7.746091364810309680e-06
3.200000000000000000e+01 6.403985821559028402e+00 1.596301100844466732e-04 1.135604430148723365e-02 2.808719598844902320e-09 7.101367129351863392e-06
3.300000000000000000e+01 6.120722962302834524e+00 1.669168716988501998e-04 1.073146463871056840e-02 2.643268844993001470e-09 6.526364170663071938e-06
3.400000000000000000e+01 5.859748379160560461e+00 1.742741311135847842e-04 1.012576851178558640e-02 2.492115417484004168e-09 6.005833545139274433e-06
3.500000000000000000e+01 5.618932199573689168e+00 1.816816562791592152e-04 9.535160658324777494e-03 2.353771121422518480e-09 5.535090339459450530e-06
3.600000000000000000e+01 5.396461196036872465e+00 1.891208967589669211e-04 8.954019438403687178e-03 2.226824042140310163e-09 5.111425590908196947e-06
3.700000000000000000e+01 5.190559516269311224e+00 1.965755301940321181e-04 8.377522384561804369e-03 2.109847683452740502e-09 4.731146911155394045e-06
3.800000000000000000e+01 4.999600810140828244e+00 2.040384465357687836e-04 7.804043719165420882e-03 2.001812896804103570e-09 4.390090235949757666e-06
3.900000000000000000e+01 4.821996102432336784e+00 2.115044638131537635e-04 7.232756837051152257e-03 1.901929964312515734e-09 4.083201571744499625e-06
4.000000000000000000e+01 4.656156418129420160e+00 2.189685000552126729e-04 6.662835133048804377e-03 1.809235906542413193e-09 3.804386264080224703e-06
4.100000000000000000e+01 4.500659423031740047e+00 2.264243597491233937e-04 6.094120055218542158e-03 1.722772871307775032e-09 3.547739899160381381e-06
4.200000000000000000e+01 4.354749345704745700e+00 2.338613932148040362e-04 5.529125264508846435e-03 1.642056728977972782e-09 3.311478283587016354e-06
4.300000000000000000e+01 4.217837055337485097e+00 2.412678372303641173e-04 4.971032475101535598e-03 1.566694414190159384e-09 3.094660100666770668e-06
4.400000000000000000e+01 4.089333421211818198e+00 2.486319285738746647e-04 4.423023401172512629e-03 1.496257247658965866e-09 2.896015360964041779e-06
4.500000000000000000e+01 3.968645836330300991e+00 2.559440099562630016e-04 3.887462456896508423e-03 1.430207745572792538e-09 2.714075442263728841e-06
4.600000000000000000e+01 3.855167788058462719e+00 2.632029478188698630e-04 3.363444856446443001e-03 1.368308664645338197e-09 2.547586064541349583e-06
4.700000000000000000e+01 3.748289287274524817e+00 2.704094145359716762e-04 2.849248513999560768e-03 1.310322153930963837e-09 2.395157204672816624e-06
4.800000000000000000e+01 3.647400345061354354e+00 2.775644824821537856e-04 2.343151343726381040e-03 1.255921129900957126e-09 2.255138781144012735e-06
4.900000000000000000e+01 3.551890972399161850e+00 2.846688240311377781e-04 1.843431259798470256e-03 1.204796074128673385e-09 2.125620656704919872e-06
5.000000000000000000e+01 3.461215522679956802e+00 2.917214793387361781e-04 1.348762872612946839e-03 1.156609482875363106e-09 2.004783607357836471e-06
5.100000000000000000e+01 3.375085720231749686e+00 2.987130596850293639e-04 8.594075774601393509e-04 1.111194404827160656e-09 1.892007828434436073e-06
5.200000000000000000e+01 3.293277631496375424e+00 3.056322441309010591e-04 3.760234658537841114e-04 1.068364522345739971e-09 1.786917343275972770e-06
5.300000000000000000e+01 3.215567323111734765e+00 3.124677117378750458e-04 -1.007313706926516860e-04 1.027986837651717651e-09 1.689042938550811291e-06
5.400000000000000000e+01 3.141730861819974852e+00 3.192081415670527012e-04 -5.701988406653278824e-04 9.898176001729058326e-10 1.597822165057602067e-06
5.500000000000000000e+01 3.071544790785157630e+00 3.258443157259207691e-04 -1.031887193385382356e-03 9.536826563483956959e-10 1.512680586154647065e-06
5.600000000000000000e+01 3.004787559170910782e+00 3.323747285070054527e-04 -1.485970041513772107e-03 9.194659255730200366e-10 1.433287233857132399e-06
5.700000000000000000e+01 2.941238092864854714e+00 3.388002772489862426e-04 -1.932787338546273527e-03 8.870485383377425732e-10 1.359331362790947402e-06
5.800000000000000000e+01 2.880675317656553602e+00 3.451214592904083226e-04 -2.372679037979732140e-03 8.563420404840735918e-10 1.290444130969637743e-06
