# ell  TT    EE    TE     PP     TP
7.800000000000000000e+01 2.801747359907748079e-13 5.944692704623842695e-17 -1.297028716161579273e-15 1.947391920386916637e-14 2.393488646128383498e-15
7.900000000000000000e+01 2.766387871149122630e-13 5.989919583391969750e-17 -1.335680937201340881e-15 1.840206096273368438e-14 2.273158918245217018e-15
8.000000000000000000e+01 2.732227992679839035e-13 6.032907936673841185e-17 -1.373324477095023642e-15 1.740058020044572850e-14 2.160241594820650780e-15
8.100000000000000000e+01 2.699209218133263768e-13 6.073627537303931282e-17 -1.409937065267970257e-15 1.646422290636905805e-14 2.054221477318889970e-15
8.200000000000000000e+01 2.667273041138997978e-13 6.112048158119846348e-17 -1.445496431147134088e-15 1.558773506987052785e-14 1.954583367203690518e-15
8.300000000000000000e+01 2.636360955329225227e-13 6.148139571956605470e-17 -1.479980304157679159e-15 1.476586268028845803e-14 1.860812065941002967e-15
8.400000000000000000e+01 2.606418377299330252e-13 6.181876946844841246e-17 -1.513372102527472271e-15 1.399378975499789906e-14 1.772431316390340178e-15
8.500000000000000000e+01 2.577406415491377385e-13 6.213257031587969363e-17 -1.545677999682347277e-15 1.326845242332350495e-14 1.689120627003407532e-15
8.600000000000000000e+01 2.549290101312971702e-13 6.242281970182837327e-17 -1.576909857848847551e-15 1.258722484257182792e-14 1.610598447628839982e-15
8.700000000000000000e+01 2.522034466170299595e-13 6.268953906624716150e-17 -1.607079539255066182e-15 1.194748117007307970e-14 1.536583228115921122e-15
8.800000000000000000e+01 2.495604541470287088e-13 6.293274984911832609e-17 -1.636198906126748611e-15 1.134659556313586353e-14 1.466793418312874514e-15
8.900000000000000000e+01 2.469965358619331103e-13 6.315247349039129850e-17 -1.664279820690970298e-15 1.078194217908628907e-14 1.400947468067741101e-15
9.000000000000000000e+01 2.445081949023731626e-13 6.334873143005100888e-17 -1.691334145175501097e-15 1.025089517524065096e-14 1.338763827229139073e-15
9.100000000000000000e+01 2.420919344090073895e-13 6.352154510804234042e-17 -1.717373741805997109e-15 9.750828708919118722e-15 1.279960945646179657e-15
9.200000000000000000e+01 2.397442575224820969e-13 6.367093596435118470e-17 -1.742410472810161728e-15 9.279116937435674069e-15 1.224257273167653212e-15
9.300000000000000000e+01 2.374618760735528561e-13 6.379694253304784072e-17 -1.766454700080535481e-15 8.833372143114794221e-15 1.171398024208859705e-15
9.400000000000000000e+01 2.352423366531284617e-13 6.389967172472580421e-17 -1.789510784174924877e-15 8.412159108305771292e-15 1.121235471452416265e-15
9.500000000000000000e+01 2.330833945420276000e-13 6.397924754408283540e-17 -1.811581585317572775e-15 8.014280740347077896e-15 1.073648652147488678e-15
9.600000000000000000e+01 2.309828050212904949e-13 6.403579399581507983e-17 -1.832669963731637749e-15 7.638539946583406027e-15 1.028516603544714349e-15
9.700000000000000000e+01 2.289383233718674527e-13 6.406943508463094734e-17 -1.852778779641698515e-15 7.283739634361238391e-15 9.857183628930091920e-16
9.800000000000000000e+01 2.269477048746035391e-13 6.408029481522457434e-17 -1.871910893270780132e-15 6.948682711031452439e-15 9.451329674419351977e-16
9.900000000000000000e+01 2.250087048106063532e-13 6.406849719231571054e-17 -1.890069164843441202e-15 6.632172083932534197e-15 9.066394544418875911e-16
1.000000000000000000e+02 2.231190784606992008e-13 6.403416622057308857e-17 -1.907256454583525619e-15 6.333010660413114440e-15 8.701168611423910891e-16
1.010000000000000000e+02 2.212765811058528102e-13 6.397742590472964692e-17 -1.923475622714001248e-15 6.050001347825054328e-15 8.354442247924225450e-16
1.020000000000000000e+02 2.194789680270294279e-13 6.389840024947510929e-17 -1.938729529459811260e-15 5.781947053506532229e-15 8.025005826418963730e-16
1.030000000000000000e+02 2.177239945052201538e-13 6.379721325947815901e-17 -1.953021035043946398e-15 5.527650684805212566e-15 7.711649719406321269e-16
1.040000000000000000e+02 2.160095610681815156e-13 6.367401956570549517e-17 -1.966353890084392126e-15 5.286026934668643107e-15 7.413257291903616206e-16
1.050000000000000000e+02 2.143341492316989345e-13 6.352909630356430520e-17 -1.978735406773970605e-15 5.056437638446680232e-15 7.129083879015086809e-16
1.060000000000000000e+02 2.126963857583499422e-13 6.336275123479307238e-17 -1.990173787697637131e-15 4.838356417091522546e-15 6.858477808370969859e-16
1.070000000000000000e+02 2.110948974107519548e-13 6.317529212112820926e-17 -2.000677235442453253e-15 4.631256891554453579e-15 6.600787407601949812e-16
1.080000000000000000e+02 2.095283109515319056e-13 6.296702672417816031e-17 -2.010253952594380457e-15 4.434612682787824186e-15 6.355361004332480111e-16
1.090000000000000000e+02 2.079952531432993349e-13 6.273826280567827805e-17 -2.018912141739091505e-15 4.247897411743136410e-15 6.121546926190569001e-16
1.100000000000000000e+02 2.064943507486741330e-13 6.248930812735808480e-17 -2.026660005463212892e-15 4.070584699371414245e-15 5.898693500806216605e-16
1.110000000000000000e+02 2.050242305302097996e-13 6.222047045082248750e-17 -2.033505746352393712e-15 3.902148166625031424e-15 5.686149055804968936e-16
1.120000000000000000e+02 2.035835192506228319e-13 6.193205753779321847e-17 -2.039457566993063246e-15 3.742061434455389804e-15 5.483261918817034176e-16
