# ell  TT    EE    TE     PP     TP
4.600000000000000000e+01 5.156620700436256886e-13 3.478286732722225135e-17 4.609824784144262582e-16 1.846844765633467301e-13 1.964905219029950412e-14
4.700000000000000000e+01 5.014223494187552101e-13 3.575953315038120990e-17 3.912795402548169659e-16 1.690600991322173056e-13 1.805280133660849130e-14
4.800000000000000000e+01 4.879784503839911552e-13 3.672906357901818603e-17 3.224107418066666117e-16 1.550368923990651610e-13 1.661420429449879178e-14
4.900000000000000000e+01 4.752551141726838434e-13 3.769060018194691473e-17 2.543683047294656639e-16 1.424039162001503249e-13 1.531543163387983740e-14
5.000000000000000000e+01 4.631840244648880088e-13 3.864327327429450872e-17 1.871536795958336944e-16 1.309684052417207386e-13 1.413975712364327181e-14
5.100000000000000000e+01 4.517246347307883521e-13 3.958616815663899769e-17 1.208052326330312896e-16 1.206102937103795895e-13 1.307486732861567600e-14
5.200000000000000000e+01 4.408433408879244645e-13 4.051835887591987873e-17 5.537055898169051090e-17 1.112276906627122606e-13 1.210955201261076845e-14
5.300000000000000000e+01 4.305065388546674094e-13 4.143891947905094932e-17 -9.102746217494902682e-18 1.027187051553511886e-13 1.123260093944102122e-14
5.400000000000000000e+01 4.206806245481992789e-13 4.234692401298874716e-17 -7.256708782385048380e-17 9.498144624489547622e-14 1.043280387291374091e-14
5.500000000000000000e+01 4.113330172928329996e-13 4.324155230790276651e-17 -1.349858680565072553e-16 8.792220289547974833e-14 9.700001542765842933e-15
5.600000000000000000e+01 4.024352300377825375e-13 4.412240732719308583e-17 -1.963664785736418782e-16 8.147998370140668106e-14 9.028238542429832417e-15
5.700000000000000000e+01 3.939597991376703761e-13 4.498919781745944042e-17 -2.567273083933008374e-16 7.560197716444859964e-14 8.412610431260946002e-15
5.800000000000000000e+01 3.858792609482996397e-13 4.584163252535460414e-17 -3.160867465334498213e-16 7.023537178641412952e-14 7.848212768610985627e-15
5.900000000000000000e+01 3.781661518245016265e-13 4.667942019751940084e-17 -3.744631820120357333e-16 6.532735606908855849e-14 7.330141113836740408e-15
6.000000000000000000e+01 3.707930081216595091e-13 4.750226958058158273e-17 -4.318750038471754767e-16 6.082511851427181560e-14 6.853491026293087263e-15
6.100000000000000000e+01 3.637345548511790806e-13 4.830982744540669896e-17 -4.883359160212321212e-16 5.668056308214697410e-14 6.413756632051870730e-15
6.200000000000000000e+01 3.569742716494018207e-13 4.910149265973473297e-17 -5.438408823756018779e-16 5.286445556642288730e-14 6.008026324055691488e-15
6.300000000000000000e+01 3.504978268088046681e-13 4.987660211550009015e-17 -5.983801817155350609e-16 4.935227721916611352e-14 5.633787061959969214e-15
6.400000000000000000e+01 3.442908886221801059e-13 5.063449270468695423e-17 -6.519440928469512339e-16 4.611950929247622965e-14 5.288525805424798379e-15
6.500000000000000000e+01 3.383391253817712167e-13 5.137450131923173975e-17 -7.045228945752016853e-16 4.314163303844957507e-14 4.969729514109644730e-15
6.600000000000000000e+01 3.326282053804059760e-13 5.209596485108471559e-17 -7.561068657060380499e-16 4.039412970917766769e-14 4.674885147668952912e-15
6.700000000000000000e+01 3.271437969105052315e-13 5.279822019221973635e-17 -8.066862850450328915e-16 3.785248055671826844e-14 4.401479665765093260e-15
6.800000000000000000e+01 3.218724736101345071e-13 5.348068907659248975e-17 -8.562533603864140939e-16 3.549437581492714463e-14 4.147220954030094920e-15
6.900000000000000000e+01 3.168044304995237350e-13 5.414313260620666708e-17 -9.048080154783439208e-16 3.330634164456104985e-14 3.910700601999445385e-15
7.000000000000000000e+01 3.119307679441636706e-13 5.478539672508799384e-17 -9.523521030576903443e-16 3.127711318814020455e-14 3.690731125186721518e-15
7.100000000000000000e+01 3.072425863097464115e-13 5.540732737726423548e-17 -9.988874758609766045e-16 2.939542558819373383e-14 3.486125039101980284e-15
7.200000000000000000e+01 3.027309859617981045e-13 5.600877050673539939e-17 -1.044415986625211091e-15 2.765001398722857060e-14 3.295694859257640500e-15
7.300000000000000000e+01 2.983870672661858861e-13 5.658957205754200839e-17 -1.088939488087074027e-15 2.602961352776155897e-14 3.118253101165291494e-15
7.400000000000000000e+01 2.942019305884111643e-13 5.714957797369792425e-17 -1.132459832982909384e-15 2.452295935230120324e-14 2.952612280337521290e-15
7.500000000000000000e+01 2.901666762940053869e-13 5.768863419922181587e-17 -1.174978874050485027e-15 2.311878660336532572e-14 2.797584912283957322e-15
7.600000000000000000e+01 2.862729467250279602e-13 5.820656142909991430e-17 -1.216497077941333046e-15 2.180683391836544813e-14 2.652097333502759288e-15
7.700000000000000000e+01 2.825145521282257310e-13 5.870307936224078875e-17 -1.257009366971951107e-15 2.058085391426940517e-14 2.515531164427489584e-15
7.800000000000000000e+01 2.788858447266694865e-13 5.917788244847094632e-17 -1.296509277371625481e-15 1.943560270293408612e-14 2.387381846474753982e-15
7.900000000000000000e+01 2.753811767434338002e-13 5.963066513767785824e-17 -1.334990345371847300e-15 1.836583639622509874e-14 2.267144821065028798e-15
8.000000000000000000e+01 2.719949004016276273e-13 6.006112187970212019e-17 -1.372446107203928627e-15 1.736631110601023753e-14 2.154315529614278458e-15
8.100000000000000000e+01 2.687213679243262481e-13 6.046894712441517965e-17 -1.408870099098847246e-15 1.643178294413496591e-14 2.048389413541928517e-15
8.200000000000000000e+01 2.655549315346048926e-13 6.085383532167535702e-17 -1.444255857287117089e-15 1.555700802246602129e-14 1.948861914266616457e-15
8.300000000000000000e+01 2.624899434554779032e-13 6.121548092133505621e-17 -1.478596918000478768e-15 1.473674245287486796e-14 1.855228473204343780e-15
8.400000000000000000e+01 2.595211162043234208e-13 6.155363256814022336e-17 -1.511888925527785413e-15 1.396617953889539373e-14 1.767020830734249361e-15
8.500000000000000000e+01 2.566446034750683854e-13 6.186825568634366158e-17 -1.544135956389937436e-15 1.324226135083663954e-14 1.683915923065189948e-15
8.600000000000000000e+01 2.538569192560285265e-13 6.215936989508213893e-17 -1.575344195167452204e-15 1.256236715069394553e-14 1.605626985366974318e-15
8.700000000000000000e+01 2.511545775354214774e-13 6.242699481351024680e-17 -1.605519826440070648e-15 1.192387620044425086e-14 1.531867252808916040e-15
8.800000000000000000e+01 2.485340923013130060e-13 6.267115006075846703e-17 -1.634669034788343464e-15 1.132416776207876206e-14 1.462349960559733095e-15
8.900000000000000000e+01 2.459919775421207754e-13 6.289185525597543757e-17 -1.662798004791087825e-15 1.076062109758428852e-14 1.396788343789031522e-15
9.000000000000000000e+01 2.435247472459005571e-13 6.308913001828778223e-17 -1.689912921028545591e-15 1.023061546895766290e-14 1.334895637665524962e-15
9.100000000000000000e+01 2.411289154010009982e-13 6.326299396684028095e-17 -1.716019968079881428e-15 9.731530138188282087e-15 1.276385077357736546e-15
9.200000000000000000e+01 2.388009959955330527e-13 6.341346672077221629e-17 -1.741125330526142423e-15 9.260744367257558081e-15 1.220969898036082278e-15
9.300000000000000000e+01 2.365377143243381189e-13 6.354058425928284319e-17 -1.765234752239354858e-15 8.815875075949956642e-15 1.168390719018058395e-15
9.400000000000000000e+01 2.343366409083069552e-13 6.364444800175410133e-17 -1.788352214262026101e-15 8.395489815180992605e-15 1.118497696219669632e-15
9.500000000000000000e+01 2.321955575749964942e-13 6.372517572763545859e-17 -1.810481256929578187e-15 7.998393793663087740e-15 1.071168369704444098e-15
9.600000000000000000e+01 2.301122461518368956e-13 6.378288521636257777e-17 -1.831625420575904533e-15 7.623392220105688236e-15 1.026280279537635935e-15
9.700000000000000000e+01 2.280844884663837288e-13 6.381769424738943806e-17 -1.851788245537992470e-15 7.269290303227998492e-15 9.837109657834609434e-16
9.800000000000000000e+01 2.261100663460867931e-13 6.382972060015170225e-17 -1.870973272150279730e-15 6.934893251731303140e-15 9.433379685065474982e-16
