# ell  TT    EE    TE
5.380000000000000000e+02 5.566789948465684229e-02 1.567160066889529890e-04 -2.984897233552508957e-04
5.390000000000000000e+02 5.545255504227258880e-02 1.575300551008980649e-04 -2.704455702143876059e-04
5.400000000000000000e+02 5.523357575870092157e-02 1.584480583423107170e-04 -2.427489676542481393e-04
5.410000000000000000e+02 5.501099517352937840e-02 1.594694994695295656e-04 -2.154164880638720174e-04
5.420000000000000000e+02 5.478486083689310115e-02 1.605938615393461021e-04 -1.884647038322520866e-04
5.430000000000000000e+02 5.455520166755508521e-02 1.618206276090462684e-04 -1.619101873484327472e-04
5.440000000000000000e+02 5.432207414142615348e-02 1.631490496794644194e-04 -1.357676590836162319e-04
5.450000000000000000e+02 5.408555236515334708e-02 1.645774555252152926e-04 -1.100444318384081506e-04
5.460000000000000000e+02 5.384573329736465352e-02 1.661039418642753932e-04 -8.474596649553455387e-05
5.470000000000000000e+02 5.360271380206397401e-02 1.677266054157571450e-04 -5.987772393775135557e-05
5.480000000000000000e+02 5.335657711691071253e-02 1.694435428982701461e-04 -3.544516504785528288e-05
5.490000000000000000e+02 5.310742015073136035e-02 1.712528510314095071e-04 -1.145375070857870207e-05
5.500000000000000000e+02 5.285533523337218598e-02 1.731526265352095490e-04 1.209105819729145984e-05
5.510000000000000000e+02 5.260041470526936880e-02 1.751409661300697249e-04 3.518380078699536730e-05
5.520000000000000000e+02 5.234275088578735358e-02 1.772159665363761522e-04 5.781901617775786706e-05
5.530000000000000000e+02 5.208244054018870001e-02 1.793757244756550955e-04 7.999124348680020763e-05
5.540000000000000000e+02 5.181956714661199032e-02 1.816183366694244165e-04 1.016950218313819793e-04
5.550000000000000000e+02 5.155422748326033561e-02 1.839418998392791996e-04 1.229248903287196348e-04
5.560000000000000000e+02 5.128651388019465213e-02 1.863445107080315187e-04 1.436753880960513717e-04
5.570000000000000000e+02 5.101651433639885214e-02 1.888242659981217021e-04 1.639410542506104546e-04
5.580000000000000000e+02 5.074432988860359817e-02 1.913792624329071232e-04 1.837164279095844217e-04
5.590000000000000000e+02 5.047004851246909146e-02 1.940075967356866629e-04 2.029960481902835974e-04
