ell R_ell F_ell N_ell
57 5.568402584527381e-06 6.057038275019016e-07 4.9851016678151576e-06
58 5.442499500155363e-06 5.743465180733874e-07 4.866986418882751e-06
59 5.460736207290331e-06 6.566850059319151e-07 4.766960602311543e-06
60 5.3792495028164655e-06 6.686810070744974e-07 4.723637536422488e-06
61 5.384806000784869e-06 7.209244130130695e-07 4.6535950024377425e-06
62 4.952184200814657e-06 4.100486647122548e-07 4.510647412953556e-06
63 5.125658910941506e-06 6.095156360101639e-07 4.502270121810258e-06
64 4.945090055954629e-06 4.71068060764421e-07 4.506801527655659e-06
65 4.7666037245698674e-06 4.1767698322811527e-07 4.334809662205445e-06
66 4.781883243095248e-06 6.135163089932809e-07 4.1753232763188865e-06
67 4.833390072767203e-06 5.969645583068766e-07 4.246586094265514e-06
68 4.666420716303966e-06 5.31805818671204e-07 4.136105942253022e-06
69 4.497852914697557e-06 4.439265548294473e-07 4.06541705427887e-06
70 4.461854157587809e-06 4.922886775262583e-07 3.982545487693435e-06
71 4.528877468946383e-06 5.215122100080982e-07 3.996419281978436e-06
72 4.393737433996323e-06 3.7495668322758076e-07 3.963021229887869e-06
73 4.312498706460561e-06 4.410259642040059e-07 3.866620489104157e-06
74 4.304948256706445e-06 4.65521287723727e-07 3.833406286410812e-06
75 4.253771728777245e-06 5.206104056738459e-07 3.750737483505146e-06
76 4.109120022376236e-06 3.976962752066788e-07 3.7168053158278693e-06
77 4.100691044459022e-06 3.881791129922262e-07 3.710685974791165e-06
78 4.111406505571763e-06 4.6020189521437207e-07 3.6833882912479504e-06
79 4.185790755727832e-06 4.777536249400323e-07 3.7044510647420163e-06
80 4.10074273132325e-06 5.007518537688711e-07 3.610787575956702e-06
81 4.034052296876378e-06 4.275658591104585e-07 3.5970713717278286e-06
82 3.8950657969671306e-06 3.5626071892304245e-07 3.5233173727807197e-06
83 3.8028864915699336e-06 3.1945675881913334e-07 3.495195785557247e-06
84 3.937687756052112e-06 4.208307750547403e-07 3.530637836205042e-06
85 3.9930056066985065e-06 4.3973907657704414e-07 3.5359688931124905e-06
86 3.864928705915858e-06 4.1798560272277754e-07 3.427668759639129e-06
87 3.8452700777892365e-06 4.3339799748254836e-07 3.406471362910744e-06
88 3.799863622252394e-06 3.928092185588744e-07 3.405996698402161e-06
89 3.7599687491534375e-06 3.855644309843893e-07 3.373207486479951e-06
90 3.7593986393043163e-06 3.583566693417342e-07 3.416858702032532e-06
91 3.7526844416428314e-06 3.4965584078864254e-07 3.3729532668732514e-06
92 3.5797866342894346e-06 2.5605245145231556e-07 3.327413846345588e-06
93 3.635755471885725e-06 3.45812183887658e-07 3.282117125096716e-06
94 3.606985464294346e-06 3.612289944130657e-07 3.2771958170858965e-06
95 3.5860778880388844e-06 2.7342048079926523e-07 3.325651241100818e-06
96 3.6863934783460242e-06 4.045937184209866e-07 3.2661143016947924e-06
97 3.5698567714267245e-06 3.565812370385258e-07 3.232990313376761e-06
98 3.641555267337981e-06 3.7692668945824565e-07 3.272183992471103e-06
99 3.5666011317529003e-06 3.1439275539705886e-07 3.2411642617935067e-06
100 3.568198953694063e-06 3.444377214719783e-07 3.242282277608967e-06
101 3.535501659844942e-06 3.6957773414917864e-07 3.1930241822368944e-06
102 3.4660056392090348e-06 2.9303194593941257e-07 3.1882236898018968e-06
