ell R_ell F_ell N_ell
47 4.498378666234556e-06 6.746938716735191e-07 3.8236847945610365e-06
48 4.431066847546066e-06 7.788853432106846e-07 3.652181504335382e-06
49 4.3174678781160904e-06 6.24134004257912e-07 3.6933338738581784e-06
50 4.314875588191198e-06 6.455551819926598e-07 3.669320406198538e-06
51 4.075876201078798e-06 5.313223423021619e-07 3.5445538587766365e-06
52 4.03965385274886e-06 4.720450299605482e-07 3.567608822788311e-06
53 4.1865965548748655e-06 4.4846231873707e-07 3.7381342361377953e-06
54 4.093169313642477e-06 5.524542430529396e-07 3.540715070589537e-06
55 4.121211886452665e-06 4.7510875967584634e-07 3.6461031267768192e-06
56 3.9147564717704565e-06 3.8794022339760815e-07 3.5268162483728486e-06
57 4.15612021320102e-06 5.23410046157573e-07 3.632710167043447e-06
58 3.7480035041417856e-06 3.433335824505461e-07 3.4046699216912397e-06
59 4.021174264609802e-06 5.074545900689104e-07 3.513719674540892e-06
60 3.922867614372805e-06 4.614200878782418e-07 3.4614475264945637e-06
61 3.850170611490458e-06 4.47141629580767e-07 3.4030289819096904e-06
62 3.787045417376195e-06 3.280732763505779e-07 3.458972141025617e-06
63 3.98994096922657e-06 4.76131638575768e-07 3.513809330650802e-06
64 3.7971305961882696e-06 3.5493439044837764e-07 3.442196205739892e-06
65 3.7528523899670224e-06 3.874153916698955e-07 3.365436998297127e-06
66 3.817615456837832e-06 4.417616826097839e-07 3.3758537742280488e-06
67 3.747013164087473e-06 3.7615439655663347e-07 3.3708587675308396e-06
68 3.6847111673599556e-06 3.068171274518566e-07 3.377894039908099e-06
69 3.6741182644954934e-06 3.049247993186469e-07 3.3691934651768463e-06
70 3.6145076669981194e-06 3.0554196427489184e-07 3.3089657027232275e-06
71 3.750222506284415e-06 3.301889151878101e-07 3.420033591096605e-06
72 3.7311423905364416e-06 3.5777851089511923e-07 3.3733638796413222e-06
73 3.6965477438705713e-06 3.610939798285865e-07 3.335453764041985e-06
74 3.5748689638546724e-06 3.062122266450076e-07 3.2686567372096646e-06
75 3.6506686245870893e-06 3.7708140958354483e-07 3.2735872150035446e-06
76 3.6559666686297186e-06 3.034416649977911e-07 3.3525250036319275e-06
77 3.5826814471200235e-06 4.06129694491466e-07 3.1765517526285574e-06
78 3.716272886788636e-06 2.855327264824264e-07 3.4307401603062096e-06
79 3.6429175358813946e-06 3.5418063217065827e-07 3.288736903710736e-06
80 3.691255353681136e-06 3.507932848794106e-07 3.3404620688017252e-06
81 3.5690128479717295e-06 3.2842519250090586e-07 3.2405876554708234e-06
82 3.5079055202179937e-06 2.6853306113340623e-07 3.2393724590845873e-06
83 3.5307327033698464e-06 2.869556372983121e-07 3.2437770660715343e-06
84 3.502765634341829e-06 3.3752357116343766e-07 3.165242063178391e-06
85 3.5756110269314746e-06 2.6624518608392614e-07 3.3093658408475486e-06
86 3.500647748860645e-06 2.9620531944065035e-07 3.2044424294199948e-06
87 3.5579863418028292e-06 3.0116838387181025e-07 3.256817957931019e-06
88 3.46339186871603e-06 2.8877752659770006e-07 3.17461434211833e-06
