ell R_ell F_ell N_ell
34 1.6266933226099808e-05 1.6631960003425748e-06 1.4986344388858062e-05
35 1.6504780373698705e-05 1.3922910951946873e-06 1.5029701916267834e-05
36 1.654544798119201e-05 9.452240018247365e-07 1.5437414198391407e-05
37 1.5993994797194576e-05 1.0536733012940858e-06 1.4988373965422058e-05
38 1.6115863201865544e-05 9.98075093450434e-07 1.4891859353232526e-05
39 1.5288870817540097e-05 1.2780146961062482e-06 1.4238073182898154e-05
40 1.504060880432295e-05 1.1432108234903701e-06 1.3952927661534054e-05
41 1.4481513490529101e-05 8.203582991284763e-07 1.3723135463797972e-05
42 1.369392039967267e-05 5.553051758077834e-07 1.3240247566771667e-05
43 1.2661086713961601e-05 7.264521508606367e-07 1.2022612997330441e-05
44 1.2810258936564576e-05 9.670383655542638e-07 1.1836039224604188e-05
45 1.2572266108639567e-05 9.447797733026286e-07 1.1629141093628475e-05
46 1.1852288425452351e-05 8.832940224442067e-07 1.1010283387387497e-05
47 1.157892745066826e-05 7.522802521115274e-07 1.0816882134802648e-05
48 1.1003980044882545e-05 7.42734718080027e-07 1.0266454726981724e-05
49 1.0527531239945245e-05 7.125555910895227e-07 9.770544037700165e-06
50 1.0292545977668987e-05 6.170851706431385e-07 9.642110327601615e-06
51 1.0356513205572488e-05 1.2244418473151356e-06 9.199311617254925e-06
52 9.892148408318125e-06 7.27811460298171e-07 9.162607724016147e-06
53 9.338855200080786e-06 5.530466559280793e-07 8.760556431917223e-06
54 9.667881489850225e-06 1.1049131488222761e-06 8.761060935100088e-06
55 9.448439466167617e-06 8.558346311307791e-07 8.6532263189464e-06
56 9.055175251202463e-06 4.885399750208764e-07 8.53533537534445e-06
57 9.184694335548223e-06 6.26004345039895e-07 8.589193247468255e-06
58 9.11525028886172e-06 6.46910557828368e-07 8.467923557021055e-06
59 9.22299169034499e-06 6.207824716667895e-07 8.580816659176865e-06
60 9.003559442345995e-06 7.865404135715201e-07 8.279608898806692e-06
61 9.016610766426565e-06 6.862488159654971e-07 8.423622401258005e-06
62 8.907964184386279e-06 4.305810838775727e-07 8.43354281080139e-06
63 9.077126519674347e-06 5.803846414417016e-07 8.505681292318878e-06
64 8.970646828527384e-06 4.787404885689119e-07 8.585871236677688e-06
65 9.063920851275108e-06 4.677619452387123e-07 8.576551267394542e-06
66 8.857168364195019e-06 5.436383579997014e-07 8.355252955502668e-06
67 9.286361824221133e-06 7.236340203997121e-07 8.52379082556173e-06
68 9.054190230102438e-06 4.3736809530665746e-07 8.664378256996956e-06
69 9.127284023593457e-06 4.743656983379898e-07 8.68761392322512e-06
70 8.969444261705635e-06 4.7675204243295345e-07 8.532827772299858e-06
71 9.245075747023215e-06 5.939389219503863e-07 8.664069547380972e-06
72 9.05308641789248e-06 4.4298076997279256e-07 8.523226051502222e-06
73 8.9086002392053e-06 4.018930581366663e-07 8.518159803404778e-06
74 8.722880061396452e-06 3.9104581919418175e-07 8.353748367451577e-06
75 9.066137603218505e-06 5.953427772965534e-07 8.505688765637783e-06
76 8.774922171181174e-06 3.9540500238667207e-07 8.393273445121537e-06
77 8.528785840018912e-06 4.052991303569611e-07 8.138954020452886e-06
78 8.653979674492105e-06 3.9539495002077735e-07 8.246071748115321e-06
79 8.578682265538038e-06 5.294413117246502e-07 8.053766870308533e-06
80 8.215957967044253e-06 5.041472133579076e-07 7.777664018785073e-06
81 8.208335256142182e-06 5.20582064532278e-07 7.675928191066822e-06
82 7.839279796801814e-06 4.556599926745009e-07 7.356304119854872e-06
83 7.494846174243827e-06 3.067268811604975e-07 7.226362412365656e-06
84 7.520194768438783e-06 3.377026404936203e-07 7.183229398123012e-06
85 7.470619691606189e-06 4.800191270491457e-07 6.99847926890546e-06
86 7.322097607142132e-06 4.82572129498757e-07 6.863292165507155e-06
87 7.107531928417542e-06 4.4947340103952104e-07 6.64863822987145e-06
88 6.814108329584889e-06 4.4283155368648587e-07 6.353944606182839e-06
89 6.7621595749308455e-06 4.61728011139163e-07 6.3756184116515635e-06
90 6.493011021668244e-06 3.300835835041668e-07 6.171705727936327e-06
91 6.623764434717078e-06 3.889619022594323e-07 6.141434637265961e-06
92 6.2391256828344425e-06 5.123741856779589e-07 5.754146838844918e-06
93 6.144799681033697e-06 5.315687272970412e-07 5.636569917034952e-06
94 6.117423515653305e-06 5.234050746268443e-07 5.6820399178940355e-06
