# units: uK_CMB^2
ell R_ell F_ell N_ell
59 4.326970259618978e-06 5.587487483758041e-07 3.858067313306612e-06
60 4.3094757824837765e-06 5.839530133980183e-07 3.802600222601426e-06
61 4.4100076647107e-06 6.163863433945284e-07 3.867630106514798e-06
62 4.093031150092185e-06 3.0144313296495186e-07 3.848985456193972e-06
63 4.224984331002602e-06 4.350322759609673e-07 3.884645545810331e-06
64 4.265654923940014e-06 3.8802308286443425e-07 3.97628355506018e-06
65 4.218448468516513e-06 3.920103699810206e-07 3.869433309075618e-06
66 4.184331632783752e-06 4.6774811201156996e-07 3.81476793752879e-06
67 4.418442438553365e-06 5.040098484747049e-07 3.96596263742432e-06
68 4.266345824213507e-06 3.753723805651866e-07 3.951248571591016e-06
69 4.228603829090455e-06 3.7971201398783534e-07 3.954894680982323e-06
70 4.174340452983903e-06 3.583409213018703e-07 3.8852854285206e-06
71 4.31869562953135e-06 3.9634362375792643e-07 3.986626522144461e-06
72 4.2689130853324924e-06 3.257963691240302e-07 3.9567070888770425e-06
73 4.210689284678765e-06 3.734665224250835e-07 3.902955005753686e-06
74 4.110030541389514e-06 3.350924093969812e-07 3.847111763469113e-06
75 4.084910340381426e-06 3.6488465059933706e-07 3.7954183867622455e-06
76 4.032141488738189e-06 3.004478333283211e-07 3.8098005577822702e-06
77 4.034931736173411e-06 3.248082006692156e-07 3.7558497381173305e-06
78 4.014028072363864e-06 3.5876698807915995e-07 3.733194589197343e-06
79 3.9854760917381375e-06 3.589056433173491e-07 3.709915924856972e-06
80 3.954887105592511e-06 4.0802673916481383e-07 3.606466763815267e-06
81 3.828317694049698e-06 3.0653290822079607e-07 3.550970227976331e-06
82 3.705535704452422e-06 3.321837206051352e-07 3.4221027608180603e-06
83 3.531684910353282e-06 2.3841354923485313e-07 3.358002913520309e-06
84 3.543367990528522e-06 2.473676105685517e-07 3.3656676209257664e-06
85 3.6352811092186384e-06 3.3481460258011866e-07 3.3390188804767517e-06
86 3.5031373946317658e-06 3.291913101025075e-07 3.210879331396191e-06
87 3.3353439186681967e-06 2.9661395144710813e-07 3.1046260759961282e-06
88 3.3052978850763513e-06 3.0934630234683763e-07 3.038767757385612e-06
89 3.2299185219808522e-06 3.172184053999836e-07 2.9633153681102455e-06
90 3.239194084472782e-06 2.751847963973194e-07 2.999693639795152e-06
91 3.1603764350285984e-06 2.4921158342398877e-07 2.9202312670329043e-06
92 3.029050861755089e-06 3.02650664450587e-07 2.78772849446364e-06
93 3.0095541219729256e-06 3.572835605381429e-07 2.7064431607191063e-06
94 2.973948147905106e-06 3.367099246650962e-07 2.7021285896183592e-06
95 2.893621063807321e-06 2.7972666961998663e-07 2.675109030408556e-06
