# ell  TT    EE    TE
6.600000000000000000e+01 2.486504262013257804e+00 3.940673729498225071e-04 -5.669316630690008664e-03
6.700000000000000000e+01 2.445335185155035340e+00 3.993102498850487937e-04 -6.047450324688377968e-03
6.800000000000000000e+01 2.405781941613851060e+00 4.043988265618390335e-04 -6.417012929339464475e-03
6.900000000000000000e+01 2.367768817562980299e+00 4.093318890249092738e-04 -6.778124738090007470e-03
7.000000000000000000e+01 2.331225420209888100e+00 4.141094457318401250e-04 -7.131013107362554893e-03
7.100000000000000000e+01 2.296081356762931236e+00 4.187315051516708048e-04 -7.475905393576005691e-03
7.200000000000000000e+01 2.262266234432061207e+00 4.231980757646522655e-04 -7.813028953152481929e-03
7.300000000000000000e+01 2.229709660424227025e+00 4.275091660623643965e-04 -8.142611142511035210e-03
7.400000000000000000e+01 2.198341241949593794e+00 4.316647845479479892e-04 -8.464879318076608261e-03
7.500000000000000000e+01 2.168090586215331683e+00 4.356649397361801973e-04 -8.780060836263058055e-03
7.600000000000000000e+01 2.138892267472004782e+00 4.395091937233048499e-04 -9.088319415597198234e-03
7.700000000000000000e+01 2.110700728130653570e+00 4.431953228983095050e-04 -9.389564223045274508e-03
7.800000000000000000e+01 2.083475377643044357e+00 4.467206572320144226e-04 -9.683640787666132274e-03
7.900000000000000000e+01 2.057175625462818402e+00 4.500825267070758810e-04 -9.970394638526841255e-03
8.000000000000000000e+01 2.031760881040417299e+00 4.532782613183995290e-04 -1.024967130468621215e-02
8.100000000000000000e+01 2.007190553829988566e+00 4.563051910731660268e-04 -1.052131631521586140e-02
8.200000000000000000e+01 1.983424053282270672e+00 4.591606459905472567e-04 -1.078517519917706821e-02
8.300000000000000000e+01 1.960420788849867701e+00 4.618419561026611254e-04 -1.104109348563439563e-02
8.400000000000000000e+01 1.938142530931932672e+00 4.643469441444148600e-04 -1.128895471428511751e-02
8.500000000000000000e+01 1.916560493710179447e+00 4.666754036270320252e-04 -1.152879446736041619e-02
8.600000000000000000e+01 1.895648252314013460e+00 4.688276207653318270e-04 -1.176068633771153345e-02
8.700000000000000000e+01 1.875379381872225304e+00 4.708038817870734247e-04 -1.198470391820729945e-02
8.800000000000000000e+01 1.855727457512690304e+00 4.726044729327633217e-04 -1.220092080170211493e-02
8.900000000000000000e+01 1.836666054365022616e+00 4.742296804561958409e-04 -1.240941058105476946e-02
9.000000000000000000e+01 1.818168747557189269e+00 4.756797906246353785e-04 -1.261024684913341840e-02
9.100000000000000000e+01 1.800209112219240515e+00 4.769550897184764529e-04 -1.280350319879760071e-02
9.200000000000000000e+01 1.782760723478390430e+00 4.780558640317356068e-04 -1.298925322289891209e-02
9.300000000000000000e+01 1.765798730336551214e+00 4.789825071377358068e-04 -1.316756260951744070e-02
9.400000000000000000e+01 1.749304577279592987e+00 4.797358416863449840e-04 -1.333846542762207391e-02
9.500000000000000000e+01 1.733261282666822778e+00 4.803167976068326321e-04 -1.350198784137906713e-02
9.600000000000000000e+01 1.717651864856990285e+00 4.807263048426716726e-04 -1.365815601496781287e-02
9.700000000000000000e+01 1.702459342208096027e+00 4.809652933517519885e-04 -1.380699611256706871e-02
9.800000000000000000e+01 1.687666733079631110e+00 4.810346931058076406e-04 -1.394853429835732871e-02
9.900000000000000000e+01 1.673257055830306594e+00 4.809354340917798174e-04 -1.408279673650868896e-02
1.000000000000000000e+02 1.659213328818359923e+00 4.806684463104106799e-04 -1.420980959120717729e-02
1.010000000000000000e+02 1.645518570402732195e+00 4.802346597779257715e-04 -1.432959902661908209e-02
1.020000000000000000e+02 1.632155798942333202e+00 4.796350045256036988e-04 -1.444219120693049363e-02
1.030000000000000000e+02 1.619108032795825824e+00 4.788704105988472954e-04 -1.454761229631261303e-02
1.040000000000000000e+02 1.606359465633188544e+00 4.779420379831751165e-04 -1.464589428400395188e-02
1.050000000000000000e+02 1.593898992368516065e+00 4.768519663685241348e-04 -1.473709245946913313e-02
1.060000000000000000e+02 1.581716683227379239e+00 4.756025053863708186e-04 -1.482126793723006000e-02
1.070000000000000000e+02 1.569802608435716174e+00 4.741959646820310438e-04 -1.489848183181344786e-02
1.080000000000000000e+02 1.558146838218517072e+00 4.726346539169273223e-04 -1.496879525773454553e-02
1.090000000000000000e+02 1.546739442801764897e+00 4.709208827694009243e-04 -1.503226932952155676e-02
1.100000000000000000e+02 1.535570492411111765e+00 4.690569609340984364e-04 -1.508896516169543067e-02
1.110000000000000000e+02 1.524630057271819883e+00 4.670451981207870539e-04 -1.513894386878178455e-02
1.120000000000000000e+02 1.513908207609447443e+00 4.648879040571930765e-04 -1.518226656529945810e-02
1.130000000000000000e+02 1.503395013650101530e+00 4.625873884875809526e-04 -1.521899436577202162e-02
1.140000000000000000e+02 1.493080545618526100e+00 4.601459611734347549e-04 -1.524918838472739263e-02
1.150000000000000000e+02 1.482954873741288093e+00 4.575659318922702741e-04 -1.527290973668349837e-02
1.160000000000000000e+02 1.473008664273006696e+00 4.548497693314580855e-04 -1.529022150753872426e-02
1.170000000000000000e+02 1.463234967586107160e+00 4.520005777575272408e-04 -1.530119466869420478e-02
1.180000000000000000e+02 1.453627430083243244e+00 4.490216203467508249e-04 -1.530590216293462903e-02
1.190000000000000000e+02 1.444179698166234038e+00 4.459161602925676622e-04 -1.530441693303165318e-02
1.200000000000000000e+02 1.434885418237613619e+00 4.426874608071708350e-04 -1.529681192176595220e-02
1.210000000000000000e+02 1.425738236699184203e+00 4.393387851205128743e-04 -1.528316007191546193e-02
1.220000000000000000e+02 1.416731799953505844e+00 4.358733964817946942e-04 -1.526353432625723698e-02
1.230000000000000000e+02 1.407859754402800201e+00 4.322945581591037937e-04 -1.523800762757217785e-02
1.240000000000000000e+02 1.399115746449157927e+00 4.286055334389251193e-04 -1.520665291863423051e-02
1.250000000000000000e+02 1.390493422495025833e+00 4.248095856273755911e-04 -1.516954314222433882e-02
1.260000000000000000e+02 1.381986428942190370e+00 4.209099780499931179e-04 -1.512675124111977597e-02
1.270000000000000000e+02 1.373588412193149200e+00 4.169099740525254619e-04 -1.507835015809588959e-02
1.280000000000000000e+02 1.365293018650381995e+00 4.128128369999597698e-04 -1.502441283593621522e-02
1.290000000000000000e+02 1.357094352271588145e+00 4.086219410773373850e-04 -1.496501459847394445e-02
1.300000000000000000e+02 1.348988347236932839e+00 4.043411036874701328e-04 -1.490024029377378170e-02
1.310000000000000000e+02 1.340971395281705503e+00 3.999742530531792575e-04 -1.483017715096041599e-02
1.320000000000000000e+02 1.333039888142266927e+00 3.955253174188410811e-04 -1.475491239915840622e-02
1.330000000000000000e+02 1.325190217553526395e+00 3.909982250492084212e-04 -1.467453326748885054e-02
1.340000000000000000e+02 1.317418775251800733e+00 3.863969042309491823e-04 -1.458912698507668255e-02
1.350000000000000000e+02 1.309721952972592307e+00 3.817252832722345759e-04 -1.449878078104458422e-02
1.360000000000000000e+02 1.302096142451567129e+00 3.769872905030487685e-04 -1.440358188451748914e-02
1.370000000000000000e+02 1.294537735424214020e+00 3.721868542759911372e-04 -1.430361752461925887e-02
1.380000000000000000e+02 1.287043123626990360e+00 3.673279029654202919e-04 -1.419897493047209483e-02
1.390000000000000000e+02 1.279608698794778787e+00 3.624143649693801063e-04 -1.408974133120078319e-02
1.400000000000000000e+02 1.272230852663990275e+00 3.574501687078479725e-04 -1.397600395592714199e-02
1.410000000000000000e+02 1.264905976970282397e+00 3.524392426252441870e-04 -1.385785003377657150e-02
1.420000000000000000e+02 1.257630463449225022e+00 3.473855151885725436e-04 -1.373536679387258111e-02
1.430000000000000000e+02 1.250400703836908933e+00 3.422929148894393895e-04 -1.360864146533628631e-02
1.440000000000000000e+02 1.243213381852958044e+00 3.371653963125630094e-04 -1.347776234466969633e-02
1.450000000000000000e+02 1.236066349154313571e+00 3.320070183455139587e-04 -1.334282199787735837e-02
1.460000000000000000e+02 1.228957749382172837e+00 3.268218659698848643e-04 -1.320391405833562341e-02
1.470000000000000000e+02 1.221885726177107667e+00 3.216140241918171837e-04 -1.306113215942821502e-02
1.480000000000000000e+02 1.214848423180295622e+00 3.163875780442296204e-04 -1.291456993453400648e-02
1.490000000000000000e+02 1.207843984032778373e+00 3.111466125841079976e-04 -1.276432101703245565e-02
1.500000000000000000e+02 1.200870552375601141e+00 3.058952128955898676e-04 -1.261047904030246705e-02
1.510000000000000000e+02 1.193926271849535370e+00 3.006374640888371044e-04 -1.245313763772536685e-02
1.520000000000000000e+02 1.187009286095623617e+00 2.953774513007992905e-04 -1.229239044267966402e-02
1.530000000000000000e+02 1.180117738755091628e+00 2.901192596952557293e-04 -1.212833108854807079e-02
1.540000000000000000e+02 1.173249773469068558e+00 2.848669744635639245e-04 -1.196105320870637784e-02
1.550000000000000000e+02 1.166403533878329624e+00 2.796246808248019898e-04 -1.179065043653832433e-02
1.560000000000000000e+02 1.159577163624393004e+00 2.743964640256307385e-04 -1.161721640542259099e-02
1.570000000000000000e+02 1.152768806347898467e+00 2.691864093419910563e-04 -1.144084474873963836e-02
1.580000000000000000e+02 1.145976605690081085e+00 2.639986020782037423e-04 -1.126162909986686521e-02
1.590000000000000000e+02 1.139198705292300495e+00 2.588371275675909193e-04 -1.107966309218697681e-02
1.600000000000000000e+02 1.132433248795423841e+00 2.537060711730392774e-04 -1.089504035907762000e-02
1.610000000000000000e+02 1.125678578759912174e+00 2.486094300061851775e-04 -1.070785427020483696e-02
1.620000000000000000e+02 1.118933833422042223e+00 2.435508480803043720e-04 -1.051819714035670192e-02
1.630000000000000000e+02 1.112198349937312924e+00 2.385338811587521123e-04 -1.032616102061125959e-02
1.640000000000000000e+02 1.105471465461369762e+00 2.335620850353253364e-04 -1.013183796204398211e-02
1.650000000000000000e+02 1.098752517149882424e+00 2.286390155354549661e-04 -9.935320015730442211e-03
1.660000000000000000e+02 1.092040842158099379e+00 2.237682285165944846e-04 -9.736699232743766669e-03
1.670000000000000000e+02 1.085335777641925015e+00 2.189532798684504114e-04 -9.536067664160582935e-03
1.680000000000000000e+02 1.078636660756626897e+00 2.141977255133604443e-04 -9.333517361056666711e-03
1.690000000000000000e+02 1.071942828658224434e+00 2.095051214070379813e-04 -9.129140374506168262e-03
1.700000000000000000e+02 1.065253618502060018e+00 2.048790235387597150e-04 -8.923028755585678609e-03
