0.3393  4.32348	2.209083e+00	1.222135e-01	9.557148e-01	2.095205e+00	1.041848e+00	1.523267e-01	7.777181e+00	6.289615e+01	5.376912e-02	6.227549e-01	
0.5244  5.35492	2.200401e+00	1.218665e-01	9.522350e-01	2.083285e+00	1.041977e+00	1.857399e-01	7.607365e+00	6.214572e+01	5.189164e-02	6.119259e-01	
1.415  5.77952	2.199202e+00	1.221738e-01	9.508268e-01	2.074784e+00	1.041407e+00	2.857382e-01	7.280944e+00	5.954867e+01	4.844664e-02	5.674226e-01	
0.1148  8.65863	2.181061e+00	1.226929e-01	9.487244e-01	2.072441e+00	1.041258e+00	1.897073e-01	7.238045e+00	6.139010e+01	4.796843e-02	6.002953e-01	
0.3583  6.87829	2.186844e+00	1.219429e-01	9.497369e-01	2.075596e+00	1.041046e+00	1.832676e-01	7.405300e+00	6.176271e+01	4.974313e-02	6.074620e-01	
0.6411  4.551	2.184051e+00	1.223434e-01	9.561732e-01	2.083752e+00	1.041823e+00	2.027813e-01	7.539438e+00	6.139300e+01	5.078286e-02	6.000639e-01	
0.8267  6.30655	2.185371e+00	1.217945e-01	9.537713e-01	2.092930e+00	1.041745e+00	2.832908e-01	7.719926e+00	5.970075e+01	5.225296e-02	5.712972e-01	
0.3195  4.56431	2.192144e+00	1.216393e-01	9.527267e-01	2.093622e+00	1.041584e+00	2.595583e-01	7.804515e+00	6.028587e+01	5.331197e-02	5.819225e-01	
0.8005  5.28477	2.201071e+00	1.214555e-01	9.588197e-01	2.111957e+00	1.041163e+00	1.133303e-01	8.192518e+00	6.384538e+01	5.789814e-02	6.390264e-01	
0.4595  5.88315	2.200811e+00	1.223495e-01	9.641802e-01	2.123493e+00	1.040865e+00	8.689546e-02	8.104540e+00	6.414601e+01	5.700762e-02	6.423047e-01	
0.8482  6.20395	2.211606e+00	1.222550e-01	9.652208e-01	2.124497e+00	1.040725e+00	7.998686e-02	8.097474e+00	6.441083e+01	5.723889e-02	6.457440e-01	
0.1899  6.64529	2.216226e+00	1.230721e-01	9.609935e-01	2.126040e+00	1.041061e+00	8.966822e-02	8.021225e+00	6.403616e+01	5.642157e-02	6.387207e-01	
0.08506  9.85771	2.215383e+00	1.236861e-01	9.555054e-01	2.115290e+00	1.041048e+00	1.181179e-01	7.613269e+00	6.308785e+01	5.227956e-02	6.239541e-01	
0.1774  11.3129	2.213219e+00	1.238615e-01	9.558130e-01	2.125143e+00	1.041981e+00	1.489226e-01	7.790495e+00	6.253897e+01	5.375097e-02	6.143946e-01	
0.03554  13.3488	2.207242e+00	1.243896e-01	9.514061e-01	2.099609e+00	1.041602e+00	8.361684e-02	7.222736e+00	6.386229e+01	4.848121e-02	6.342185e-01	
0.09961  9.22577	2.203568e+00	1.233596e-01	9.562276e-01	2.085698e+00	1.041730e+00	1.574921e-01	7.081020e+00	6.231768e+01	4.699608e-02	6.124813e-01	
0.2946  9.28364	2.223974e+00	1.233923e-01	9.623890e-01	2.099515e+00	1.041911e+00	1.526915e-01	7.233578e+00	6.266610e+01	4.880221e-02	6.165692e-01	
0.1023  9.12013	2.200946e+00	1.243408e-01	9.550942e-01	2.111578e+00	1.041470e+00	2.505479e-01	7.644179e+00	5.972301e+01	5.165309e-02	5.669981e-01	
0.1278  8.22939	2.198015e+00	1.238887e-01	9.585557e-01	2.114609e+00	1.041381e+00	2.297537e-01	7.708554e+00	6.027432e+01	5.233558e-02	5.780515e-01	
0.4739  7.38144	2.195160e+00	1.227384e-01	9.657824e-01	2.122369e+00	1.040959e+00	1.505475e-01	8.064133e+00	6.236289e+01	5.614636e-02	6.154315e-01	
0.3685  6.76613	2.202038e+00	1.219850e-01	9.656612e-01	2.107787e+00	1.040700e+00	2.224744e-01	7.819808e+00	6.083859e+01	5.378919e-02	5.915102e-01	
2.75  6.50935	2.192934e+00	1.222496e-01	9.674459e-01	2.097960e+00	1.041047e+00	1.830320e-02	7.617331e+00	6.600320e+01	5.243070e-02	6.676321e-01	
0.1994  6.44919	2.196973e+00	1.225826e-01	9.673529e-01	2.095580e+00	1.041731e+00	1.442752e-01	7.488643e+00	6.283525e+01	5.076789e-02	6.220519e-01	
0.2944  4.89155	2.206553e+00	1.214089e-01	9.659601e-01	2.087719e+00	1.040957e+00	1.083257e-01	7.324400e+00	6.397278e+01	4.974054e-02	6.408366e-01	
2.953  4.87883	2.213518e+00	1.211353e-01	9.713543e-01	2.107460e+00	1.041391e+00	1.702987e-02	7.685592e+00	6.671982e+01	5.369865e-02	6.768663e-01	
1.347  6.59257	2.224940e+00	1.214541e-01	9.673786e-01	2.110641e+00	1.041580e+00	6.571471e-02	7.528171e+00	6.546191e+01	5.218797e-02	6.596592e-01	
1.473  8.04363	2.228790e+00	1.207009e-01	9.682606e-01	2.107571e+00	1.042033e+00	6.894634e-02	7.507428e+00	6.581373e+01	5.216008e-02	6.646980e-01	
